record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,42.741758898017,complete
repetition,,0,generated_tokens,51200,complete
repetition,,0,sample_tokens_s,1197.8917414738264,complete
repetition,,1,elapsed_s,43.02124180298415,complete
repetition,,1,generated_tokens,51200,complete
repetition,,1,sample_tokens_s,1190.109765647177,complete
repetition,,2,elapsed_s,42.82763440400595,complete
repetition,,2,generated_tokens,51200,complete
repetition,,2,sample_tokens_s,1195.4897979424923,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
histogram,0,0,batch=100;layer=0;expert=0,529,instrumented
histogram,0,0,batch=100;layer=0;expert=1,303,instrumented
histogram,0,0,batch=100;layer=0;expert=2,300,instrumented
histogram,0,0,batch=100;layer=0;expert=3,368,instrumented
histogram,0,0,batch=100;layer=0;expert=4,612,instrumented
histogram,0,0,batch=100;layer=0;expert=5,913,instrumented
histogram,0,0,batch=100;layer=0;expert=6,674,instrumented
histogram,0,0,batch=100;layer=0;expert=7,860,instrumented
histogram,0,0,batch=100;layer=0;expert=8,212,instrumented
histogram,0,0,batch=100;layer=0;expert=9,4,instrumented
histogram,0,0,batch=100;layer=0;expert=10,301,instrumented
histogram,0,0,batch=100;layer=0;expert=11,450,instrumented
histogram,0,0,batch=100;layer=0;expert=12,599,instrumented
histogram,0,0,batch=100;layer=0;expert=13,341,instrumented
histogram,0,0,batch=100;layer=0;expert=14,524,instrumented
histogram,0,0,batch=100;layer=0;expert=15,667,instrumented
histogram,0,0,batch=100;layer=0;expert=16,162,instrumented
histogram,0,0,batch=100;layer=0;expert=17,860,instrumented
histogram,0,0,batch=100;layer=0;expert=18,415,instrumented
histogram,0,0,batch=100;layer=0;expert=19,298,instrumented
histogram,0,0,batch=100;layer=0;expert=20,801,instrumented
histogram,0,0,batch=100;layer=0;expert=21,640,instrumented
histogram,0,0,batch=100;layer=0;expert=22,633,instrumented
histogram,0,0,batch=100;layer=0;expert=23,498,instrumented
histogram,0,0,batch=100;layer=0;expert=24,163,instrumented
histogram,0,0,batch=100;layer=0;expert=25,82,instrumented
histogram,0,0,batch=100;layer=0;expert=26,451,instrumented
histogram,0,0,batch=100;layer=0;expert=27,299,instrumented
histogram,0,0,batch=100;layer=0;expert=28,520,instrumented
histogram,0,0,batch=100;layer=0;expert=29,1016,instrumented
histogram,0,0,batch=100;layer=0;expert=30,635,instrumented
histogram,0,0,batch=100;layer=0;expert=31,515,instrumented
