record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,102.8411373370036,complete
repetition,,0,generated_tokens,8192,complete
repetition,,0,sample_tokens_s,79.65683978343567,complete
local-pool,0,0,resident_hits,1477278,instrumented
local-pool,0,0,cache_hits,30728,instrumented
local-pool,0,0,unique_misses,29060,instrumented
local-pool,0,0,unique_demands,1537066,instrumented
local-pool,0,0,first_loads,6,instrumented
local-pool,0,0,reloads,29054,instrumented
local-pool,0,0,loaded_bytes,45707427840,instrumented
local-pool,0,0,metadata_bytes,25182280,instrumented
local-pool,0,0,promotion_bytes,3235381248,instrumented
local-pool,0,0,evictions,2057,instrumented
local-pool,0,0,bypasses,27003,instrumented
local-pool,0,0,load_s,1.3604226558357477,instrumented
local-pool,0,0,payload_s,1.2388329274607823,instrumented
local-pool,0,0,metadata_s,0.12158972800336779,instrumented
local-pool,0,0,compute_s,4.849829184308648,instrumented
local-pool,0,0,promotion_s,0.18450111985881812,instrumented
local-pool,0,0,span_s,6.394752962648869,instrumented
local-pool,0,0,route_d2h_s,1.6966177927097306,instrumented
local-pool,0,0,policy_cpu_s,3.200103936047526,instrumented
local-pool,0,0,host_reuse_wait_s,0.059578536194749177,instrumented
local-pool,0,0,host_gather_s,18.313117661949946,instrumented
local-pool,0,0,h2d_enqueue_s,1.1440373394580092,instrumented
local-pool,0,0,compute_enqueue_s,5.41176014704979,instrumented
histogram,0,0,batch=16;layer=0;expert=0,51,instrumented
histogram,0,0,batch=16;layer=0;expert=1,20,instrumented
histogram,0,0,batch=16;layer=0;expert=2,35,instrumented
histogram,0,0,batch=16;layer=0;expert=3,106,instrumented
histogram,0,0,batch=16;layer=0;expert=4,97,instrumented
histogram,0,0,batch=16;layer=0;expert=5,207,instrumented
histogram,0,0,batch=16;layer=0;expert=6,91,instrumented
histogram,0,0,batch=16;layer=0;expert=7,209,instrumented
histogram,0,0,batch=16;layer=0;expert=8,47,instrumented
histogram,0,0,batch=16;layer=0;expert=9,0,instrumented
histogram,0,0,batch=16;layer=0;expert=10,37,instrumented
histogram,0,0,batch=16;layer=0;expert=11,95,instrumented
histogram,0,0,batch=16;layer=0;expert=12,104,instrumented
histogram,0,0,batch=16;layer=0;expert=13,53,instrumented
histogram,0,0,batch=16;layer=0;expert=14,34,instrumented
histogram,0,0,batch=16;layer=0;expert=15,54,instrumented
histogram,0,0,batch=16;layer=0;expert=16,30,instrumented
histogram,0,0,batch=16;layer=0;expert=17,106,instrumented
histogram,0,0,batch=16;layer=0;expert=18,48,instrumented
histogram,0,0,batch=16;layer=0;expert=19,16,instrumented
histogram,0,0,batch=16;layer=0;expert=20,185,instrumented
histogram,0,0,batch=16;layer=0;expert=21,63,instrumented
histogram,0,0,batch=16;layer=0;expert=22,92,instrumented
histogram,0,0,batch=16;layer=0;expert=23,93,instrumented
histogram,0,0,batch=16;layer=0;expert=24,17,instrumented
histogram,0,0,batch=16;layer=0;expert=25,9,instrumented
histogram,0,0,batch=16;layer=0;expert=26,119,instrumented
histogram,0,0,batch=16;layer=0;expert=27,43,instrumented
histogram,0,0,batch=16;layer=0;expert=28,94,instrumented
histogram,0,0,batch=16;layer=0;expert=29,193,instrumented
histogram,0,0,batch=16;layer=0;expert=30,96,instrumented
histogram,0,0,batch=16;layer=0;expert=31,80,instrumented
histogram,0,0,batch=16;layer=0;expert=32,112,instrumented
histogram,0,0,batch=16;layer=0;expert=33,8,instrumented
histogram,0,0,batch=16;layer=0;expert=34,107,instrumented
histogram,0,0,batch=16;layer=0;expert=35,105,instrumented
histogram,0,0,batch=16;layer=0;expert=36,34,instrumented
histogram,0,0,batch=16;layer=0;expert=37,64,instrumented
histogram,0,0,batch=16;layer=0;expert=38,213,instrumented
histogram,0,0,batch=16;layer=0;expert=39,86,instrumented
histogram,0,0,batch=16;layer=0;expert=40,129,instrumented
histogram,0,0,batch=16;layer=0;expert=41,43,instrumented
histogram,0,0,batch=16;layer=0;expert=42,111,instrumented
histogram,0,0,batch=16;layer=0;expert=43,101,instrumented
histogram,0,0,batch=16;layer=0;expert=44,100,instrumented
histogram,0,0,batch=16;layer=0;expert=45,101,instrumented
histogram,0,0,batch=16;layer=0;expert=46,25,instrumented
histogram,0,0,batch=16;layer=0;expert=47,21,instrumented
histogram,0,0,batch=16;layer=0;expert=48,46,instrumented
histogram,0,0,batch=16;layer=0;expert=49,190,instrumented
histogram,0,0,batch=16;layer=0;expert=50,89,instrumented
histogram,0,0,batch=16;layer=0;expert=51,48,instrumented
histogram,0,0,batch=16;layer=0;expert=52,103,instrumented
histogram,0,0,batch=16;layer=0;expert=53,163,instrumented
histogram,0,0,batch=16;layer=0;expert=54,170,instrumented
histogram,0,0,batch=16;layer=0;expert=55,99,instrumented
histogram,0,0,batch=16;layer=0;expert=56,112,instrumented
histogram,0,0,batch=16;layer=0;expert=57,2,instrumented
histogram,0,0,batch=16;layer=0;expert=58,154,instrumented
histogram,0,0,batch=16;layer=0;expert=59,32,instrumented
histogram,0,0,batch=16;layer=0;expert=60,55,instrumented
histogram,0,0,batch=16;layer=0;expert=61,28,instrumented
histogram,0,0,batch=16;layer=0;expert=62,67,instrumented
histogram,0,0,batch=16;layer=0;expert=63,48,instrumented
histogram,0,0,batch=16;layer=0;expert=64,54,instrumented
histogram,0,0,batch=16;layer=0;expert=65,135,instrumented
histogram,0,0,batch=16;layer=0;expert=66,99,instrumented
histogram,0,0,batch=16;layer=0;expert=67,33,instrumented
histogram,0,0,batch=16;layer=0;expert=68,95,instrumented
histogram,0,0,batch=16;layer=0;expert=69,10,instrumented
histogram,0,0,batch=16;layer=0;expert=70,70,instrumented
histogram,0,0,batch=16;layer=0;expert=71,23,instrumented
histogram,0,0,batch=16;layer=0;expert=72,209,instrumented
histogram,0,0,batch=16;layer=0;expert=73,51,instrumented
histogram,0,0,batch=16;layer=0;expert=74,150,instrumented
histogram,0,0,batch=16;layer=0;expert=75,76,instrumented
histogram,0,0,batch=16;layer=0;expert=76,127,instrumented
histogram,0,0,batch=16;layer=0;expert=77,227,instrumented
histogram,0,0,batch=16;layer=0;expert=78,0,instrumented
histogram,0,0,batch=16;layer=0;expert=79,0,instrumented
histogram,0,0,batch=16;layer=0;expert=80,101,instrumented
histogram,0,0,batch=16;layer=0;expert=81,12,instrumented
histogram,0,0,batch=16;layer=0;expert=82,51,instrumented
histogram,0,0,batch=16;layer=0;expert=83,64,instrumented
histogram,0,0,batch=16;layer=0;expert=84,95,instrumented
histogram,0,0,batch=16;layer=0;expert=85,2,instrumented
histogram,0,0,batch=16;layer=0;expert=86,22,instrumented
histogram,0,0,batch=16;layer=0;expert=87,17,instrumented
histogram,0,0,batch=16;layer=0;expert=88,52,instrumented
histogram,0,0,batch=16;layer=0;expert=89,139,instrumented
histogram,0,0,batch=16;layer=0;expert=90,185,instrumented
histogram,0,0,batch=16;layer=0;expert=91,33,instrumented
histogram,0,0,batch=16;layer=0;expert=92,137,instrumented
histogram,0,0,batch=16;layer=0;expert=93,36,instrumented
histogram,0,0,batch=16;layer=0;expert=94,160,instrumented
histogram,0,0,batch=16;layer=0;expert=95,23,instrumented
histogram,0,0,batch=16;layer=0;expert=96,18,instrumented
histogram,0,0,batch=16;layer=0;expert=97,82,instrumented
histogram,0,0,batch=16;layer=0;expert=98,125,instrumented
histogram,0,0,batch=16;layer=0;expert=99,44,instrumented
histogram,0,0,batch=16;layer=0;expert=100,37,instrumented
histogram,0,0,batch=16;layer=0;expert=101,28,instrumented
histogram,0,0,batch=16;layer=0;expert=102,53,instrumented
histogram,0,0,batch=16;layer=0;expert=103,157,instrumented
histogram,0,0,batch=16;layer=0;expert=104,42,instrumented
histogram,0,0,batch=16;layer=0;expert=105,104,instrumented
histogram,0,0,batch=16;layer=0;expert=106,35,instrumented
histogram,0,0,batch=16;layer=0;expert=107,50,instrumented
histogram,0,0,batch=16;layer=0;expert=108,90,instrumented
histogram,0,0,batch=16;layer=0;expert=109,87,instrumented
histogram,0,0,batch=16;layer=0;expert=110,20,instrumented
histogram,0,0,batch=16;layer=0;expert=111,214,instrumented
histogram,0,0,batch=16;layer=0;expert=112,68,instrumented
histogram,0,0,batch=16;layer=0;expert=113,0,instrumented
histogram,0,0,batch=16;layer=0;expert=114,102,instrumented
histogram,0,0,batch=16;layer=0;expert=115,46,instrumented
histogram,0,0,batch=16;layer=0;expert=116,71,instrumented
histogram,0,0,batch=16;layer=0;expert=117,217,instrumented
histogram,0,0,batch=16;layer=0;expert=118,136,instrumented
histogram,0,0,batch=16;layer=0;expert=119,105,instrumented
histogram,0,0,batch=16;layer=0;expert=120,38,instrumented
histogram,0,0,batch=16;layer=0;expert=121,81,instrumented
histogram,0,0,batch=16;layer=0;expert=122,22,instrumented
histogram,0,0,batch=16;layer=0;expert=123,74,instrumented
histogram,0,0,batch=16;layer=0;expert=124,2,instrumented
histogram,0,0,batch=16;layer=0;expert=125,30,instrumented
histogram,0,0,batch=16;layer=0;expert=126,114,instrumented
histogram,0,0,batch=16;layer=0;expert=127,180,instrumented
histogram,0,0,batch=16;layer=0;expert=128,34,instrumented
histogram,0,0,batch=16;layer=0;expert=129,55,instrumented
histogram,0,0,batch=16;layer=0;expert=130,39,instrumented
histogram,0,0,batch=16;layer=0;expert=131,103,instrumented
histogram,0,0,batch=16;layer=0;expert=132,53,instrumented
histogram,0,0,batch=16;layer=0;expert=133,215,instrumented
histogram,0,0,batch=16;layer=0;expert=134,36,instrumented
histogram,0,0,batch=16;layer=0;expert=135,17,instrumented
histogram,0,0,batch=16;layer=0;expert=136,214,instrumented
histogram,0,0,batch=16;layer=0;expert=137,128,instrumented
histogram,0,0,batch=16;layer=0;expert=138,38,instrumented
histogram,0,0,batch=16;layer=0;expert=139,104,instrumented
histogram,0,0,batch=16;layer=0;expert=140,269,instrumented
histogram,0,0,batch=16;layer=0;expert=141,293,instrumented
histogram,0,0,batch=16;layer=0;expert=142,111,instrumented
histogram,0,0,batch=16;layer=0;expert=143,62,instrumented
histogram,0,0,batch=16;layer=0;expert=144,28,instrumented
histogram,0,0,batch=16;layer=0;expert=145,122,instrumented
histogram,0,0,batch=16;layer=0;expert=146,53,instrumented
histogram,0,0,batch=16;layer=0;expert=147,115,instrumented
histogram,0,0,batch=16;layer=0;expert=148,135,instrumented
histogram,0,0,batch=16;layer=0;expert=149,25,instrumented
histogram,0,0,batch=16;layer=0;expert=150,34,instrumented
histogram,0,0,batch=16;layer=0;expert=151,15,instrumented
histogram,0,0,batch=16;layer=0;expert=152,56,instrumented
histogram,0,0,batch=16;layer=0;expert=153,129,instrumented
histogram,0,0,batch=16;layer=0;expert=154,31,instrumented
histogram,0,0,batch=16;layer=0;expert=155,193,instrumented
histogram,0,0,batch=16;layer=0;expert=156,49,instrumented
histogram,0,0,batch=16;layer=0;expert=157,186,instrumented
histogram,0,0,batch=16;layer=0;expert=158,24,instrumented
histogram,0,0,batch=16;layer=0;expert=159,125,instrumented
histogram,0,0,batch=16;layer=0;expert=160,28,instrumented
histogram,0,0,batch=16;layer=0;expert=161,77,instrumented
histogram,0,0,batch=16;layer=0;expert=162,48,instrumented
histogram,0,0,batch=16;layer=0;expert=163,65,instrumented
histogram,0,0,batch=16;layer=0;expert=164,30,instrumented
histogram,0,0,batch=16;layer=0;expert=165,80,instrumented
histogram,0,0,batch=16;layer=0;expert=166,24,instrumented
histogram,0,0,batch=16;layer=0;expert=167,47,instrumented
histogram,0,0,batch=16;layer=0;expert=168,97,instrumented
histogram,0,0,batch=16;layer=0;expert=169,77,instrumented
histogram,0,0,batch=16;layer=0;expert=170,0,instrumented
histogram,0,0,batch=16;layer=0;expert=171,33,instrumented
histogram,0,0,batch=16;layer=0;expert=172,140,instrumented
histogram,0,0,batch=16;layer=0;expert=173,0,instrumented
histogram,0,0,batch=16;layer=0;expert=174,88,instrumented
histogram,0,0,batch=16;layer=0;expert=175,87,instrumented
histogram,0,0,batch=16;layer=0;expert=176,128,instrumented
histogram,0,0,batch=16;layer=0;expert=177,170,instrumented
histogram,0,0,batch=16;layer=0;expert=178,39,instrumented
histogram,0,0,batch=16;layer=0;expert=179,4,instrumented
histogram,0,0,batch=16;layer=0;expert=180,1,instrumented
histogram,0,0,batch=16;layer=0;expert=181,68,instrumented
histogram,0,0,batch=16;layer=0;expert=182,48,instrumented
histogram,0,0,batch=16;layer=0;expert=183,10,instrumented
histogram,0,0,batch=16;layer=0;expert=184,46,instrumented
histogram,0,0,batch=16;layer=0;expert=185,21,instrumented
histogram,0,0,batch=16;layer=0;expert=186,34,instrumented
histogram,0,0,batch=16;layer=0;expert=187,94,instrumented
histogram,0,0,batch=16;layer=0;expert=188,133,instrumented
histogram,0,0,batch=16;layer=0;expert=189,33,instrumented
histogram,0,0,batch=16;layer=0;expert=190,127,instrumented
histogram,0,0,batch=16;layer=0;expert=191,152,instrumented
histogram,0,0,batch=16;layer=0;expert=192,85,instrumented
histogram,0,0,batch=16;layer=0;expert=193,0,instrumented
histogram,0,0,batch=16;layer=0;expert=194,71,instrumented
histogram,0,0,batch=16;layer=0;expert=195,22,instrumented
histogram,0,0,batch=16;layer=0;expert=196,93,instrumented
histogram,0,0,batch=16;layer=0;expert=197,10,instrumented
histogram,0,0,batch=16;layer=0;expert=198,46,instrumented
histogram,0,0,batch=16;layer=0;expert=199,108,instrumented
histogram,0,0,batch=16;layer=0;expert=200,294,instrumented
histogram,0,0,batch=16;layer=0;expert=201,97,instrumented
histogram,0,0,batch=16;layer=0;expert=202,168,instrumented
histogram,0,0,batch=16;layer=0;expert=203,94,instrumented
histogram,0,0,batch=16;layer=0;expert=204,94,instrumented
histogram,0,0,batch=16;layer=0;expert=205,136,instrumented
histogram,0,0,batch=16;layer=0;expert=206,122,instrumented
histogram,0,0,batch=16;layer=0;expert=207,105,instrumented
histogram,0,0,batch=16;layer=0;expert=208,44,instrumented
