record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,49.26947321800981,complete
repetition,,0,generated_tokens,51200,complete
repetition,,0,sample_tokens_s,1039.1830205581439,complete
repetition,,1,elapsed_s,48.91318607702851,complete
repetition,,1,generated_tokens,51200,complete
repetition,,1,sample_tokens_s,1046.7525039029397,complete
repetition,,2,elapsed_s,48.870685620000586,complete
repetition,,2,generated_tokens,51200,complete
repetition,,2,sample_tokens_s,1047.6628136161473,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
histogram,0,0,batch=100;layer=0;expert=0,602,instrumented
histogram,0,0,batch=100;layer=0;expert=1,287,instrumented
histogram,0,0,batch=100;layer=0;expert=2,136,instrumented
histogram,0,0,batch=100;layer=0;expert=3,295,instrumented
histogram,0,0,batch=100;layer=0;expert=4,612,instrumented
histogram,0,0,batch=100;layer=0;expert=5,923,instrumented
histogram,0,0,batch=100;layer=0;expert=6,879,instrumented
histogram,0,0,batch=100;layer=0;expert=7,856,instrumented
histogram,0,0,batch=100;layer=0;expert=8,215,instrumented
histogram,0,0,batch=100;layer=0;expert=9,4,instrumented
histogram,0,0,batch=100;layer=0;expert=10,301,instrumented
histogram,0,0,batch=100;layer=0;expert=11,441,instrumented
histogram,0,0,batch=100;layer=0;expert=12,623,instrumented
histogram,0,0,batch=100;layer=0;expert=13,347,instrumented
histogram,0,0,batch=100;layer=0;expert=14,531,instrumented
histogram,0,0,batch=100;layer=0;expert=15,488,instrumented
histogram,0,0,batch=100;layer=0;expert=16,167,instrumented
histogram,0,0,batch=100;layer=0;expert=17,631,instrumented
