record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,114.13884953595698,complete
repetition,,0,generated_tokens,524288,complete
repetition,,0,sample_tokens_s,4593.422854107483,complete
repetition,,1,elapsed_s,110.51416606199928,complete
repetition,,1,generated_tokens,524288,complete
repetition,,1,sample_tokens_s,4744.079593433031,complete
repetition,,2,elapsed_s,110.10732448496856,complete
repetition,,2,generated_tokens,524288,complete
repetition,,2,sample_tokens_s,4761.608752663624,complete
local-pool,0,0,resident_hits,,measured
local-pool,0,0,cache_hits,,measured
local-pool,0,0,unique_misses,,measured
local-pool,0,0,unique_demands,,measured
local-pool,0,0,first_loads,,measured
local-pool,0,0,reloads,,measured
local-pool,0,0,loaded_bytes,,measured
local-pool,0,0,metadata_bytes,,measured
local-pool,0,0,promotion_bytes,,measured
local-pool,0,0,evictions,,measured
local-pool,0,0,bypasses,,measured
local-pool,0,0,load_s,,measured
local-pool,0,0,payload_s,,measured
local-pool,0,0,metadata_s,,measured
local-pool,0,0,compute_s,,measured
local-pool,0,0,promotion_s,,measured
local-pool,0,0,span_s,,measured
local-pool,0,0,route_d2h_s,,measured
local-pool,0,0,policy_cpu_s,,measured
local-pool,0,0,host_reuse_wait_s,,measured
local-pool,0,0,host_gather_s,,measured
local-pool,0,0,h2d_enqueue_s,,measured
local-pool,0,0,compute_enqueue_s,,measured
local-pool,1,0,resident_hits,,measured
local-pool,1,0,cache_hits,,measured
local-pool,1,0,unique_misses,,measured
local-pool,1,0,unique_demands,,measured
local-pool,1,0,first_loads,,measured
local-pool,1,0,reloads,,measured
local-pool,1,0,loaded_bytes,,measured
local-pool,1,0,metadata_bytes,,measured
local-pool,1,0,promotion_bytes,,measured
local-pool,1,0,evictions,,measured
local-pool,1,0,bypasses,,measured
local-pool,1,0,load_s,,measured
local-pool,1,0,payload_s,,measured
local-pool,1,0,metadata_s,,measured
local-pool,1,0,compute_s,,measured
local-pool,1,0,promotion_s,,measured
local-pool,1,0,span_s,,measured
local-pool,1,0,route_d2h_s,,measured
local-pool,1,0,policy_cpu_s,,measured
local-pool,1,0,host_reuse_wait_s,,measured
local-pool,1,0,host_gather_s,,measured
local-pool,1,0,h2d_enqueue_s,,measured
local-pool,1,0,compute_enqueue_s,,measured
local-pool,2,0,resident_hits,,measured
local-pool,2,0,cache_hits,,measured
local-pool,2,0,unique_misses,,measured
local-pool,2,0,unique_demands,,measured
local-pool,2,0,first_loads,,measured
local-pool,2,0,reloads,,measured
local-pool,2,0,loaded_bytes,,measured
local-pool,2,0,metadata_bytes,,measured
local-pool,2,0,promotion_bytes,,measured
local-pool,2,0,evictions,,measured
local-pool,2,0,bypasses,,measured
local-pool,2,0,load_s,,measured
local-pool,2,0,payload_s,,measured
local-pool,2,0,metadata_s,,measured
local-pool,2,0,compute_s,,measured
local-pool,2,0,promotion_s,,measured
local-pool,2,0,span_s,,measured
local-pool,2,0,route_d2h_s,,measured
local-pool,2,0,policy_cpu_s,,measured
local-pool,2,0,host_reuse_wait_s,,measured
local-pool,2,0,host_gather_s,,measured
local-pool,2,0,h2d_enqueue_s,,measured
local-pool,2,0,compute_enqueue_s,,measured
local-pool,3,0,resident_hits,,measured
local-pool,3,0,cache_hits,,measured
local-pool,3,0,unique_misses,,measured
local-pool,3,0,unique_demands,,measured
local-pool,3,0,first_loads,,measured
local-pool,3,0,reloads,,measured
local-pool,3,0,loaded_bytes,,measured
local-pool,3,0,metadata_bytes,,measured
local-pool,3,0,promotion_bytes,,measured
local-pool,3,0,evictions,,measured
local-pool,3,0,bypasses,,measured
local-pool,3,0,load_s,,measured
local-pool,3,0,payload_s,,measured
local-pool,3,0,metadata_s,,measured
local-pool,3,0,compute_s,,measured
local-pool,3,0,promotion_s,,measured
local-pool,3,0,span_s,,measured
local-pool,3,0,route_d2h_s,,measured
local-pool,3,0,policy_cpu_s,,measured
local-pool,3,0,host_reuse_wait_s,,measured
local-pool,3,0,host_gather_s,,measured
local-pool,3,0,h2d_enqueue_s,,measured
local-pool,3,0,compute_enqueue_s,,measured
local-pool,0,1,resident_hits,,measured
local-pool,0,1,cache_hits,,measured
local-pool,0,1,unique_misses,,measured
local-pool,0,1,unique_demands,,measured
local-pool,0,1,first_loads,,measured
local-pool,0,1,reloads,,measured
local-pool,0,1,loaded_bytes,,measured
local-pool,0,1,metadata_bytes,,measured
local-pool,0,1,promotion_bytes,,measured
local-pool,0,1,evictions,,measured
local-pool,0,1,bypasses,,measured
local-pool,0,1,load_s,,measured
local-pool,0,1,payload_s,,measured
local-pool,0,1,metadata_s,,measured
local-pool,0,1,compute_s,,measured
local-pool,0,1,promotion_s,,measured
local-pool,0,1,span_s,,measured
local-pool,0,1,route_d2h_s,,measured
local-pool,0,1,policy_cpu_s,,measured
local-pool,0,1,host_reuse_wait_s,,measured
local-pool,0,1,host_gather_s,,measured
local-pool,0,1,h2d_enqueue_s,,measured
local-pool,0,1,compute_enqueue_s,,measured
local-pool,1,1,resident_hits,,measured
local-pool,1,1,cache_hits,,measured
local-pool,1,1,unique_misses,,measured
local-pool,1,1,unique_demands,,measured
local-pool,1,1,first_loads,,measured
local-pool,1,1,reloads,,measured
local-pool,1,1,loaded_bytes,,measured
local-pool,1,1,metadata_bytes,,measured
local-pool,1,1,promotion_bytes,,measured
local-pool,1,1,evictions,,measured
local-pool,1,1,bypasses,,measured
local-pool,1,1,load_s,,measured
local-pool,1,1,payload_s,,measured
local-pool,1,1,metadata_s,,measured
local-pool,1,1,compute_s,,measured
local-pool,1,1,promotion_s,,measured
local-pool,1,1,span_s,,measured
local-pool,1,1,route_d2h_s,,measured
local-pool,1,1,policy_cpu_s,,measured
local-pool,1,1,host_reuse_wait_s,,measured
local-pool,1,1,host_gather_s,,measured
local-pool,1,1,h2d_enqueue_s,,measured
local-pool,1,1,compute_enqueue_s,,measured
local-pool,2,1,resident_hits,,measured
local-pool,2,1,cache_hits,,measured
local-pool,2,1,unique_misses,,measured
local-pool,2,1,unique_demands,,measured
local-pool,2,1,first_loads,,measured
local-pool,2,1,reloads,,measured
local-pool,2,1,loaded_bytes,,measured
local-pool,2,1,metadata_bytes,,measured
local-pool,2,1,promotion_bytes,,measured
local-pool,2,1,evictions,,measured
local-pool,2,1,bypasses,,measured
local-pool,2,1,load_s,,measured
local-pool,2,1,payload_s,,measured
local-pool,2,1,metadata_s,,measured
local-pool,2,1,compute_s,,measured
local-pool,2,1,promotion_s,,measured
local-pool,2,1,span_s,,measured
local-pool,2,1,route_d2h_s,,measured
local-pool,2,1,policy_cpu_s,,measured
local-pool,2,1,host_reuse_wait_s,,measured
local-pool,2,1,host_gather_s,,measured
local-pool,2,1,h2d_enqueue_s,,measured
local-pool,2,1,compute_enqueue_s,,measured
local-pool,3,1,resident_hits,,measured
local-pool,3,1,cache_hits,,measured
local-pool,3,1,unique_misses,,measured
local-pool,3,1,unique_demands,,measured
local-pool,3,1,first_loads,,measured
local-pool,3,1,reloads,,measured
local-pool,3,1,loaded_bytes,,measured
local-pool,3,1,metadata_bytes,,measured
local-pool,3,1,promotion_bytes,,measured
local-pool,3,1,evictions,,measured
local-pool,3,1,bypasses,,measured
local-pool,3,1,load_s,,measured
local-pool,3,1,payload_s,,measured
local-pool,3,1,metadata_s,,measured
local-pool,3,1,compute_s,,measured
local-pool,3,1,promotion_s,,measured
local-pool,3,1,span_s,,measured
local-pool,3,1,route_d2h_s,,measured
local-pool,3,1,policy_cpu_s,,measured
local-pool,3,1,host_reuse_wait_s,,measured
local-pool,3,1,host_gather_s,,measured
local-pool,3,1,h2d_enqueue_s,,measured
local-pool,3,1,compute_enqueue_s,,measured
local-pool,0,2,resident_hits,,measured
local-pool,0,2,cache_hits,,measured
local-pool,0,2,unique_misses,,measured
local-pool,0,2,unique_demands,,measured
local-pool,0,2,first_loads,,measured
local-pool,0,2,reloads,,measured
local-pool,0,2,loaded_bytes,,measured
local-pool,0,2,metadata_bytes,,measured
local-pool,0,2,promotion_bytes,,measured
local-pool,0,2,evictions,,measured
local-pool,0,2,bypasses,,measured
local-pool,0,2,load_s,,measured
local-pool,0,2,payload_s,,measured
local-pool,0,2,metadata_s,,measured
local-pool,0,2,compute_s,,measured
local-pool,0,2,promotion_s,,measured
local-pool,0,2,span_s,,measured
local-pool,0,2,route_d2h_s,,measured
local-pool,0,2,policy_cpu_s,,measured
local-pool,0,2,host_reuse_wait_s,,measured
local-pool,0,2,host_gather_s,,measured
local-pool,0,2,h2d_enqueue_s,,measured
local-pool,0,2,compute_enqueue_s,,measured
local-pool,1,2,resident_hits,,measured
local-pool,1,2,cache_hits,,measured
local-pool,1,2,unique_misses,,measured
local-pool,1,2,unique_demands,,measured
local-pool,1,2,first_loads,,measured
local-pool,1,2,reloads,,measured
local-pool,1,2,loaded_bytes,,measured
local-pool,1,2,metadata_bytes,,measured
local-pool,1,2,promotion_bytes,,measured
local-pool,1,2,evictions,,measured
local-pool,1,2,bypasses,,measured
local-pool,1,2,load_s,,measured
local-pool,1,2,payload_s,,measured
local-pool,1,2,metadata_s,,measured
local-pool,1,2,compute_s,,measured
local-pool,1,2,promotion_s,,measured
local-pool,1,2,span_s,,measured
local-pool,1,2,route_d2h_s,,measured
local-pool,1,2,policy_cpu_s,,measured
local-pool,1,2,host_reuse_wait_s,,measured
local-pool,1,2,host_gather_s,,measured
local-pool,1,2,h2d_enqueue_s,,measured
local-pool,1,2,compute_enqueue_s,,measured
local-pool,2,2,resident_hits,,measured
local-pool,2,2,cache_hits,,measured
local-pool,2,2,unique_misses,,measured
local-pool,2,2,unique_demands,,measured
local-pool,2,2,first_loads,,measured
local-pool,2,2,reloads,,measured
local-pool,2,2,loaded_bytes,,measured
local-pool,2,2,metadata_bytes,,measured
local-pool,2,2,promotion_bytes,,measured
local-pool,2,2,evictions,,measured
local-pool,2,2,bypasses,,measured
local-pool,2,2,load_s,,measured
local-pool,2,2,payload_s,,measured
local-pool,2,2,metadata_s,,measured
local-pool,2,2,compute_s,,measured
local-pool,2,2,promotion_s,,measured
local-pool,2,2,span_s,,measured
local-pool,2,2,route_d2h_s,,measured
local-pool,2,2,policy_cpu_s,,measured
local-pool,2,2,host_reuse_wait_s,,measured
local-pool,2,2,host_gather_s,,measured
local-pool,2,2,h2d_enqueue_s,,measured
local-pool,2,2,compute_enqueue_s,,measured
local-pool,3,2,resident_hits,,measured
local-pool,3,2,cache_hits,,measured
local-pool,3,2,unique_misses,,measured
local-pool,3,2,unique_demands,,measured
local-pool,3,2,first_loads,,measured
local-pool,3,2,reloads,,measured
local-pool,3,2,loaded_bytes,,measured
local-pool,3,2,metadata_bytes,,measured
local-pool,3,2,promotion_bytes,,measured
local-pool,3,2,evictions,,measured
local-pool,3,2,bypasses,,measured
local-pool,3,2,load_s,,measured
local-pool,3,2,payload_s,,measured
local-pool,3,2,metadata_s,,measured
local-pool,3,2,compute_s,,measured
local-pool,3,2,promotion_s,,measured
local-pool,3,2,span_s,,measured
local-pool,3,2,route_d2h_s,,measured
local-pool,3,2,policy_cpu_s,,measured
local-pool,3,2,host_reuse_wait_s,,measured
local-pool,3,2,host_gather_s,,measured
local-pool,3,2,h2d_enqueue_s,,measured
local-pool,3,2,compute_enqueue_s,,measured
