record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,270.7516670989571,complete
repetition,,0,generated_tokens,51200,complete
repetition,,0,sample_tokens_s,189.1031754249066,complete
repetition,,1,elapsed_s,268.4958194179926,complete
repetition,,1,generated_tokens,51200,complete
repetition,,1,sample_tokens_s,190.69198213582672,complete
repetition,,2,elapsed_s,268.82687536103185,complete
repetition,,2,generated_tokens,51200,complete
repetition,,2,sample_tokens_s,190.4571480483077,complete
local-pool,0,0,resident_hits,3995317,instrumented
local-pool,0,0,cache_hits,102702,instrumented
local-pool,0,0,unique_misses,299664,instrumented
local-pool,0,0,unique_demands,4397683,instrumented
local-pool,0,0,first_loads,1,instrumented
local-pool,0,0,reloads,299663,instrumented
local-pool,0,0,loaded_bytes,471330717696,instrumented
local-pool,0,0,metadata_bytes,25209024,instrumented
local-pool,0,0,promotion_bytes,8493465600,instrumented
local-pool,0,0,evictions,5400,instrumented
local-pool,0,0,bypasses,294264,instrumented
local-pool,0,0,load_s,9.181922209329903,instrumented
local-pool,0,0,payload_s,9.08054944410175,instrumented
local-pool,0,0,metadata_s,0.10137276785774156,instrumented
local-pool,0,0,compute_s,2.978477536097169,instrumented
local-pool,0,0,promotion_s,0.08383887933287769,instrumented
local-pool,0,0,span_s,12.24423862606287,instrumented
local-pool,0,0,route_d2h_s,4.076500530936755,instrumented
local-pool,0,0,policy_cpu_s,6.78246328025125,instrumented
local-pool,0,0,host_reuse_wait_s,0.07253602321725339,instrumented
local-pool,0,0,host_gather_s,82.97433470189571,instrumented
local-pool,0,0,h2d_enqueue_s,1.5303578528109938,instrumented
local-pool,0,0,compute_enqueue_s,6.308189838659018,instrumented
histogram,0,0,batch=100;layer=0;expert=0,511,instrumented
histogram,0,0,batch=100;layer=0;expert=1,301,instrumented
histogram,0,0,batch=100;layer=0;expert=2,291,instrumented
histogram,0,0,batch=100;layer=0;expert=3,402,instrumented
histogram,0,0,batch=100;layer=0;expert=4,632,instrumented
histogram,0,0,batch=100;layer=0;expert=5,901,instrumented
histogram,0,0,batch=100;layer=0;expert=6,679,instrumented
histogram,0,0,batch=100;layer=0;expert=7,863,instrumented
histogram,0,0,batch=100;layer=0;expert=8,219,instrumented
histogram,0,0,batch=100;layer=0;expert=9,4,instrumented
histogram,0,0,batch=100;layer=0;expert=10,293,instrumented
histogram,0,0,batch=100;layer=0;expert=11,438,instrumented
histogram,0,0,batch=100;layer=0;expert=12,611,instrumented
histogram,0,0,batch=100;layer=0;expert=13,373,instrumented
histogram,0,0,batch=100;layer=0;expert=14,511,instrumented
histogram,0,0,batch=100;layer=0;expert=15,674,instrumented
histogram,0,0,batch=100;layer=0;expert=16,143,instrumented
histogram,0,0,batch=100;layer=0;expert=17,848,instrumented
histogram,0,0,batch=100;layer=0;expert=18,414,instrumented
histogram,0,0,batch=100;layer=0;expert=19,272,instrumented
histogram,0,0,batch=100;layer=0;expert=20,787,instrumented
histogram,0,0,batch=100;layer=0;expert=21,619,instrumented
histogram,0,0,batch=100;layer=0;expert=22,646,instrumented
histogram,0,0,batch=100;layer=0;expert=23,509,instrumented
histogram,0,0,batch=100;layer=0;expert=24,156,instrumented
histogram,0,0,batch=100;layer=0;expert=25,80,instrumented
histogram,0,0,batch=100;layer=0;expert=26,430,instrumented
histogram,0,0,batch=100;layer=0;expert=27,321,instrumented
histogram,0,0,batch=100;layer=0;expert=28,557,instrumented
histogram,0,0,batch=100;layer=0;expert=29,982,instrumented
histogram,0,0,batch=100;layer=0;expert=30,650,instrumented
histogram,0,0,batch=100;layer=0;expert=31,539,instrumented
histogram,0,0,batch=100;layer=0;expert=32,522,instrumented
histogram,0,0,batch=100;layer=0;expert=33,92,instrumented
histogram,0,0,batch=100;layer=0;expert=34,448,instrumented
histogram,0,0,batch=100;layer=0;expert=35,746,instrumented
histogram,0,0,batch=100;layer=0;expert=36,603,instrumented
histogram,0,0,batch=100;layer=0;expert=37,663,instrumented
histogram,0,0,batch=100;layer=0;expert=38,739,instrumented
histogram,0,0,batch=100;layer=0;expert=39,507,instrumented
histogram,0,0,batch=100;layer=0;expert=40,740,instrumented
histogram,0,0,batch=100;layer=0;expert=41,575,instrumented
histogram,0,0,batch=100;layer=0;expert=42,486,instrumented
histogram,0,0,batch=100;layer=0;expert=43,570,instrumented
histogram,0,0,batch=100;layer=0;expert=44,723,instrumented
histogram,0,0,batch=100;layer=0;expert=45,539,instrumented
histogram,0,0,batch=100;layer=0;expert=46,278,instrumented
histogram,0,0,batch=100;layer=0;expert=47,168,instrumented
histogram,0,0,batch=100;layer=0;expert=48,285,instrumented
histogram,0,0,batch=100;layer=0;expert=49,1103,instrumented
histogram,0,0,batch=100;layer=0;expert=50,515,instrumented
histogram,0,0,batch=100;layer=0;expert=51,272,instrumented
histogram,0,0,batch=100;layer=0;expert=52,874,instrumented
histogram,0,0,batch=100;layer=0;expert=53,915,instrumented
histogram,0,0,batch=100;layer=0;expert=54,724,instrumented
histogram,0,0,batch=100;layer=0;expert=55,691,instrumented
histogram,0,0,batch=100;layer=0;expert=56,645,instrumented
histogram,0,0,batch=100;layer=0;expert=57,96,instrumented
histogram,0,0,batch=100;layer=0;expert=58,765,instrumented
histogram,0,0,batch=100;layer=0;expert=59,358,instrumented
histogram,0,0,batch=100;layer=0;expert=60,283,instrumented
histogram,0,0,batch=100;layer=0;expert=61,359,instrumented
histogram,0,0,batch=100;layer=0;expert=62,301,instrumented
histogram,0,0,batch=100;layer=0;expert=63,295,instrumented
histogram,0,0,batch=100;layer=0;expert=64,409,instrumented
histogram,0,0,batch=100;layer=0;expert=65,803,instrumented
histogram,0,0,batch=100;layer=0;expert=66,616,instrumented
histogram,0,0,batch=100;layer=0;expert=67,375,instrumented
histogram,0,0,batch=100;layer=0;expert=68,633,instrumented
histogram,0,0,batch=100;layer=0;expert=69,166,instrumented
histogram,0,0,batch=100;layer=0;expert=70,535,instrumented
histogram,0,0,batch=100;layer=0;expert=71,271,instrumented
histogram,0,0,batch=100;layer=0;expert=72,871,instrumented
histogram,0,0,batch=100;layer=0;expert=73,263,instrumented
histogram,0,0,batch=100;layer=0;expert=74,796,instrumented
histogram,0,0,batch=100;layer=0;expert=75,676,instrumented
histogram,0,0,batch=100;layer=0;expert=76,621,instrumented
histogram,0,0,batch=100;layer=0;expert=77,986,instrumented
histogram,0,0,batch=100;layer=0;expert=78,24,instrumented
histogram,0,0,batch=100;layer=0;expert=79,35,instrumented
histogram,0,0,batch=100;layer=0;expert=80,724,instrumented
histogram,0,0,batch=100;layer=0;expert=81,333,instrumented
histogram,0,0,batch=100;layer=0;expert=82,382,instrumented
histogram,0,0,batch=100;layer=0;expert=83,532,instrumented
histogram,0,0,batch=100;layer=0;expert=84,441,instrumented
histogram,0,0,batch=100;layer=0;expert=85,28,instrumented
histogram,0,0,batch=100;layer=0;expert=86,287,instrumented
histogram,0,0,batch=100;layer=0;expert=87,356,instrumented
histogram,0,0,batch=100;layer=0;expert=88,294,instrumented
histogram,0,0,batch=100;layer=0;expert=89,590,instrumented
histogram,0,0,batch=100;layer=0;expert=90,921,instrumented
histogram,0,0,batch=100;layer=0;expert=91,328,instrumented
histogram,0,0,batch=100;layer=0;expert=92,833,instrumented
histogram,0,0,batch=100;layer=0;expert=93,268,instrumented
histogram,0,0,batch=100;layer=0;expert=94,466,instrumented
histogram,0,0,batch=100;layer=0;expert=95,216,instrumented
histogram,0,0,batch=100;layer=0;expert=96,200,instrumented
histogram,0,0,batch=100;layer=0;expert=97,390,instrumented
histogram,0,0,batch=100;layer=0;expert=98,577,instrumented
histogram,0,0,batch=100;layer=0;expert=99,356,instrumented
histogram,0,0,batch=100;layer=0;expert=100,512,instrumented
histogram,0,0,batch=100;layer=0;expert=101,552,instrumented
histogram,0,0,batch=100;layer=0;expert=102,329,instrumented
histogram,0,0,batch=100;layer=0;expert=103,890,instrumented
histogram,0,0,batch=100;layer=0;expert=104,322,instrumented
histogram,0,0,batch=100;layer=0;expert=105,664,instrumented
histogram,0,0,batch=100;layer=0;expert=106,235,instrumented
histogram,0,0,batch=100;layer=0;expert=107,316,instrumented
histogram,0,0,batch=100;layer=0;expert=108,476,instrumented
histogram,0,0,batch=100;layer=0;expert=109,698,instrumented
histogram,0,0,batch=100;layer=0;expert=110,417,instrumented
histogram,0,0,batch=100;layer=0;expert=111,842,instrumented
histogram,0,0,batch=100;layer=0;expert=112,445,instrumented
histogram,0,0,batch=100;layer=0;expert=113,4,instrumented
histogram,0,0,batch=100;layer=0;expert=114,729,instrumented
histogram,0,0,batch=100;layer=0;expert=115,444,instrumented
histogram,0,0,batch=100;layer=0;expert=116,667,instrumented
histogram,0,0,batch=100;layer=0;expert=117,790,instrumented
histogram,0,0,batch=100;layer=0;expert=118,625,instrumented
histogram,0,0,batch=100;layer=0;expert=119,634,instrumented
histogram,0,0,batch=100;layer=0;expert=120,531,instrumented
histogram,0,0,batch=100;layer=0;expert=121,510,instrumented
histogram,0,0,batch=100;layer=0;expert=122,542,instrumented
histogram,0,0,batch=100;layer=0;expert=123,570,instrumented
histogram,0,0,batch=100;layer=0;expert=124,144,instrumented
histogram,0,0,batch=100;layer=0;expert=125,360,instrumented
histogram,0,0,batch=100;layer=0;expert=126,649,instrumented
histogram,0,0,batch=100;layer=0;expert=127,1132,instrumented
histogram,0,0,batch=100;layer=0;expert=128,475,instrumented
histogram,0,0,batch=100;layer=0;expert=129,441,instrumented
histogram,0,0,batch=100;layer=0;expert=130,376,instrumented
histogram,0,0,batch=100;layer=0;expert=131,794,instrumented
histogram,0,0,batch=100;layer=0;expert=132,351,instrumented
histogram,0,0,batch=100;layer=0;expert=133,732,instrumented
histogram,0,0,batch=100;layer=0;expert=134,309,instrumented
histogram,0,0,batch=100;layer=0;expert=135,151,instrumented
histogram,0,0,batch=100;layer=0;expert=136,978,instrumented
histogram,0,0,batch=100;layer=0;expert=137,978,instrumented
histogram,0,0,batch=100;layer=0;expert=138,231,instrumented
histogram,0,0,batch=100;layer=0;expert=139,730,instrumented
histogram,0,0,batch=100;layer=0;expert=140,1236,instrumented
histogram,0,0,batch=100;layer=0;expert=141,982,instrumented
histogram,0,0,batch=100;layer=0;expert=142,762,instrumented
histogram,0,0,batch=100;layer=0;expert=143,272,instrumented
histogram,0,0,batch=100;layer=0;expert=144,302,instrumented
histogram,0,0,batch=100;layer=0;expert=145,727,instrumented
histogram,0,0,batch=100;layer=0;expert=146,439,instrumented
histogram,0,0,batch=100;layer=0;expert=147,711,instrumented
histogram,0,0,batch=100;layer=0;expert=148,852,instrumented
histogram,0,0,batch=100;layer=0;expert=149,432,instrumented
histogram,0,0,batch=100;layer=0;expert=150,423,instrumented
histogram,0,0,batch=100;layer=0;expert=151,289,instrumented
histogram,0,0,batch=100;layer=0;expert=152,375,instrumented
histogram,0,0,batch=100;layer=0;expert=153,908,instrumented
histogram,0,0,batch=100;layer=0;expert=154,201,instrumented
histogram,0,0,batch=100;layer=0;expert=155,757,instrumented
histogram,0,0,batch=100;layer=0;expert=156,267,instrumented
histogram,0,0,batch=100;layer=0;expert=157,939,instrumented
histogram,0,0,batch=100;layer=0;expert=158,273,instrumented
histogram,0,0,batch=100;layer=0;expert=159,806,instrumented
histogram,0,0,batch=100;layer=0;expert=160,398,instrumented
histogram,0,0,batch=100;layer=0;expert=161,582,instrumented
histogram,0,0,batch=100;layer=0;expert=162,242,instrumented
histogram,0,0,batch=100;layer=0;expert=163,449,instrumented
histogram,0,0,batch=100;layer=0;expert=164,289,instrumented
histogram,0,0,batch=100;layer=0;expert=165,606,instrumented
histogram,0,0,batch=100;layer=0;expert=166,272,instrumented
histogram,0,0,batch=100;layer=0;expert=167,279,instrumented
histogram,0,0,batch=100;layer=0;expert=168,786,instrumented
histogram,0,0,batch=100;layer=0;expert=169,401,instrumented
histogram,0,0,batch=100;layer=0;expert=170,0,instrumented
histogram,0,0,batch=100;layer=0;expert=171,524,instrumented
histogram,0,0,batch=100;layer=0;expert=172,856,instrumented
histogram,0,0,batch=100;layer=0;expert=173,2,instrumented
histogram,0,0,batch=100;layer=0;expert=174,561,instrumented
histogram,0,0,batch=100;layer=0;expert=175,610,instrumented
histogram,0,0,batch=100;layer=0;expert=176,603,instrumented
histogram,0,0,batch=100;layer=0;expert=177,799,instrumented
histogram,0,0,batch=100;layer=0;expert=178,300,instrumented
histogram,0,0,batch=100;layer=0;expert=179,56,instrumented
histogram,0,0,batch=100;layer=0;expert=180,72,instrumented
histogram,0,0,batch=100;layer=0;expert=181,558,instrumented
histogram,0,0,batch=100;layer=0;expert=182,372,instrumented
histogram,0,0,batch=100;layer=0;expert=183,126,instrumented
histogram,0,0,batch=100;layer=0;expert=184,326,instrumented
histogram,0,0,batch=100;layer=0;expert=185,225,instrumented
histogram,0,0,batch=100;layer=0;expert=186,307,instrumented
