record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,110.0832690289244,complete
repetition,,0,generated_tokens,524288,complete
repetition,,0,sample_tokens_s,4762.649262007682,complete
repetition,,1,elapsed_s,110.4182882149471,complete
repetition,,1,generated_tokens,524288,complete
repetition,,1,sample_tokens_s,4748.198948523712,complete
repetition,,2,elapsed_s,110.25389662501402,complete
repetition,,2,generated_tokens,524288,complete
repetition,,2,sample_tokens_s,4755.278643648875,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
histogram,0,0,batch=613;layer=0;expert=0,2399,instrumented
histogram,0,0,batch=613;layer=0;expert=1,1702,instrumented
histogram,0,0,batch=613;layer=0;expert=2,923,instrumented
histogram,0,0,batch=613;layer=0;expert=3,1542,instrumented
histogram,0,0,batch=613;layer=0;expert=4,2616,instrumented
histogram,0,0,batch=613;layer=0;expert=5,4138,instrumented
histogram,0,0,batch=613;layer=0;expert=6,3395,instrumented
histogram,0,0,batch=613;layer=0;expert=7,4225,instrumented
histogram,0,0,batch=613;layer=0;expert=8,1103,instrumented
histogram,0,0,batch=613;layer=0;expert=9,29,instrumented
histogram,0,0,batch=613;layer=0;expert=10,1642,instrumented
histogram,0,0,batch=613;layer=0;expert=11,1984,instrumented
histogram,0,0,batch=613;layer=0;expert=12,2791,instrumented
