role,status,rank,actual_KV_GB,used_GPU_GB,torch_peak_reserved_GB
r0,complete,0,8.980856832,55.04073728,49.983520768
r0,complete,1,8.980856832,55.04073728,49.983520768
r0,complete,2,8.980856832,55.04073728,49.983520768
r0,complete,3,8.980856832,55.04073728,49.983520768
small,complete,0,12.179472384,58.236796928,53.179580416
small,complete,1,12.179472384,58.236796928,53.179580416
small,complete,2,12.179472384,58.236796928,53.179580416
small,complete,3,12.179472384,58.236796928,53.179580416
large,complete,0,27.079606272,73.160196096,68.102914048
large,complete,1,27.079606272,73.160196096,68.102914048
large,complete,2,27.079606272,73.160196096,68.102914048
large,complete,3,27.079606272,73.160196096,68.102914048
