role,status,rank,actual_KV_GB,used_GPU_GB,torch_peak_reserved_GB
r0,complete,0,8.42268672,55.118331904,50.05901824
r0,complete,1,8.42268672,55.118331904,50.05901824
r0,complete,2,8.42268672,55.118331904,50.05901824
r0,complete,3,8.42268672,55.118331904,50.05901824
small,complete,0,11.621302272,58.3122944,53.252980736
small,complete,1,11.621302272,58.3122944,53.252980736
small,complete,2,11.621302272,58.3122944,53.252980736
small,complete,3,11.621302272,58.3122944,53.252980736
large,complete,0,26.52143616,73.216753664,68.153245696
large,complete,1,26.52143616,73.216753664,68.153245696
large,complete,2,26.52143616,73.216753664,68.153245696
large,complete,3,26.52143616,73.216753664,68.153245696
