record_index,metric,value
0,record_index,0
0,status,failed
0,phase,launcher
0,exit_code,1
0,artifact_kind,launcher-failure
1,record_index,1
1,contract.batch_size,16
1,contract.commit,e4dca2a2377d02f4dfe1963e435a9070f6e2179a
1,contract.context_length,1024
1,contract.dataset_manifest_sha256,d1fa27a78c422ed77b6e44e7c1b642c8cdf3d1a5b1068d7ee0c4996079f8a75b
1,contract.dataset_sha256,ae5e2428733c21f39efdd1c6ba45d9dac78e4f00d43a0a930151034eda178445
1,contract.dtype,bfloat16
1,contract.engine_policy_sha256,6883cfe9fa9913ae663b4fee9940ff63d7742b55e4a326c66166e7c7df3a6e52
1,contract.evaluation_pool_count,254
1,contract.gpu_memory_utilization,0.9
1,contract.input_sha256,a4f10df75b825749464b60f8cbd105453417d46b0d437612cdae4811b2c42520
1,contract.max_num_batched_tokens,4096
1,contract.max_num_seqs,16
1,contract.model_config_sha256,2d483c7cabad7c8704478ed4038fa7e7b2eff840bc00a118eccbe38e2b488303
1,contract.model_identity_sha256,f197bd16d71c7da5e1472aacaeb3bd213c41d7688695ac857cf30665fe951a59
1,contract.output_length,128
1,contract.repeated_request_count,0
1,contract.seed,20260908
1,contract.source_request_count,256
1,contract.synthetic,False
1,contract.tensor_parallel_size,4
1,contract.unique_selected_request_count,16
1,contract.versions.cuda,12.8
1,contract.versions.torch,2.8.0+cu128
1,contract.versions.vllm,0.10.2
1,contract.versions.vllm_commit,01efc7ef781391e744ed08c3292817a773d654e6
1,engine_mode,native
1,measurement_evidence,measured
1,memory[0].free_gpu_bytes,7728070656
1,memory[0].kv_cache_accounting_consistent,True
1,memory[0].kv_cache_allocated_bytes,34750267392
1,memory[0].kv_cache_declared_bytes,34750267392
1,memory[0].num_gpu_blocks,10397
1,memory[0].rank,0
1,memory[0].torch_allocated_bytes,74839412224
1,memory[0].torch_peak_allocated_bytes,75057232896
1,memory[0].torch_peak_reserved_bytes,75203870720
1,memory[0].torch_reserved_bytes,75063361536
1,memory[0].total_gpu_bytes,85017493504
1,memory[1].free_gpu_bytes,7730167808
1,memory[1].kv_cache_accounting_consistent,True
1,memory[1].kv_cache_allocated_bytes,34750267392
1,memory[1].kv_cache_declared_bytes,34750267392
1,memory[1].num_gpu_blocks,10397
1,memory[1].rank,1
1,memory[1].torch_allocated_bytes,74839412224
1,memory[1].torch_peak_allocated_bytes,75057232896
1,memory[1].torch_peak_reserved_bytes,75203870720
1,memory[1].torch_reserved_bytes,75063361536
1,memory[1].total_gpu_bytes,85017493504
1,memory[2].free_gpu_bytes,7728070656
1,memory[2].kv_cache_accounting_consistent,True
1,memory[2].kv_cache_allocated_bytes,34750267392
1,memory[2].kv_cache_declared_bytes,34750267392
1,memory[2].num_gpu_blocks,10397
1,memory[2].rank,2
1,memory[2].torch_allocated_bytes,74839412224
1,memory[2].torch_peak_allocated_bytes,75057232896
1,memory[2].torch_peak_reserved_bytes,75203870720
1,memory[2].torch_reserved_bytes,75063361536
1,memory[2].total_gpu_bytes,85017493504
1,memory[3].free_gpu_bytes,7730167808
1,memory[3].kv_cache_accounting_consistent,True
1,memory[3].kv_cache_allocated_bytes,34750267392
1,memory[3].kv_cache_declared_bytes,34750267392
1,memory[3].num_gpu_blocks,10397
1,memory[3].rank,3
1,memory[3].torch_allocated_bytes,74839412224
1,memory[3].torch_peak_allocated_bytes,75057232896
1,memory[3].torch_peak_reserved_bytes,75203870720
1,memory[3].torch_reserved_bytes,75063361536
1,memory[3].total_gpu_bytes,85017493504
1,physical_safety_reserve_bytes,2000000000
1,repetitions_completed,0
1,selection_offset,0
1,source_kind,native-measured
1,status,failed
1,timing_eligible,True
1,artifact_kind,native-summary
1,run_identity_sha256,ad3d2a9dae8fe6509b2edd1c65967a51b0f11d0c234ad7c1a8d738e9f2c7091d
