record_index,metric,value
0,record_index,0
0,capture[0].buffer_bytes,25165824
0,capture[0].captured_steps,544
0,capture[0].discarded_present_events,0
0,capture[0].full_workload,True
0,capture[0].max_trace_steps,1024
0,capture[0].missing_layer_events,0
0,capture[0].observed_steps,544
0,capture[0].rank,0
0,capture[0].status,complete
0,capture[0].trace_budget_bytes,134217728
0,capture[0].truncated,False
0,capture[1].buffer_bytes,25165824
0,capture[1].captured_steps,544
0,capture[1].discarded_present_events,0
0,capture[1].full_workload,True
0,capture[1].max_trace_steps,1024
0,capture[1].missing_layer_events,0
0,capture[1].observed_steps,544
0,capture[1].rank,1
0,capture[1].status,complete
0,capture[1].trace_budget_bytes,134217728
0,capture[1].truncated,False
0,capture[2].buffer_bytes,25165824
0,capture[2].captured_steps,544
0,capture[2].discarded_present_events,0
0,capture[2].full_workload,True
0,capture[2].max_trace_steps,1024
0,capture[2].missing_layer_events,0
0,capture[2].observed_steps,544
0,capture[2].rank,2
0,capture[2].status,complete
0,capture[2].trace_budget_bytes,134217728
0,capture[2].truncated,False
0,capture[3].buffer_bytes,25165824
0,capture[3].captured_steps,544
0,capture[3].discarded_present_events,0
0,capture[3].full_workload,True
0,capture[3].max_trace_steps,1024
0,capture[3].missing_layer_events,0
0,capture[3].observed_steps,544
0,capture[3].rank,3
0,capture[3].status,complete
0,capture[3].trace_budget_bytes,134217728
0,capture[3].truncated,False
0,elapsed_s,47.0552126346156
0,generated_tokens,16384
0,memory[0].free_gpu_bytes,4378918912
0,memory[0].kv_cache_accounting_consistent,True
0,memory[0].kv_cache_allocated_bytes,34770321408
0,memory[0].kv_cache_declared_bytes,34770321408
0,memory[0].num_gpu_blocks,10403
0,memory[0].rank,0
0,memory[0].torch_allocated_bytes,74789082112
0,memory[0].torch_peak_allocated_bytes,75098127872
0,memory[0].torch_peak_reserved_bytes,75581358080
0,memory[0].torch_reserved_bytes,75581358080
0,memory[0].total_gpu_bytes,85017493504
0,memory[1].free_gpu_bytes,4378918912
0,memory[1].kv_cache_accounting_consistent,True
0,memory[1].kv_cache_allocated_bytes,34770321408
0,memory[1].kv_cache_declared_bytes,34770321408
0,memory[1].num_gpu_blocks,10403
0,memory[1].rank,1
0,memory[1].torch_allocated_bytes,74789082112
0,memory[1].torch_peak_allocated_bytes,75098127872
0,memory[1].torch_peak_reserved_bytes,75581358080
0,memory[1].torch_reserved_bytes,75581358080
0,memory[1].total_gpu_bytes,85017493504
0,memory[2].free_gpu_bytes,4378918912
0,memory[2].kv_cache_accounting_consistent,True
0,memory[2].kv_cache_allocated_bytes,34770321408
0,memory[2].kv_cache_declared_bytes,34770321408
0,memory[2].num_gpu_blocks,10403
0,memory[2].rank,2
0,memory[2].torch_allocated_bytes,74789082112
0,memory[2].torch_peak_allocated_bytes,75098127872
0,memory[2].torch_peak_reserved_bytes,75581358080
0,memory[2].torch_reserved_bytes,75581358080
0,memory[2].total_gpu_bytes,85017493504
0,memory[3].free_gpu_bytes,4378918912
0,memory[3].kv_cache_accounting_consistent,True
0,memory[3].kv_cache_allocated_bytes,34770321408
0,memory[3].kv_cache_declared_bytes,34770321408
0,memory[3].num_gpu_blocks,10403
0,memory[3].rank,3
0,memory[3].torch_allocated_bytes,74789082112
0,memory[3].torch_peak_allocated_bytes,75098127872
0,memory[3].torch_peak_reserved_bytes,75581358080
0,memory[3].torch_reserved_bytes,75581358080
0,memory[3].total_gpu_bytes,85017493504
0,output_tokens_per_second,348.1867168940877
0,repetition,0
0,request_count,32
0,timing_eligible,False
0,artifact_kind,analysis-repetition
1,record_index,1
1,elapsed_s,17.424051573034376
1,generated_tokens,8
1,input_sha256,f9ef3113fd157e161e0b373cbc8d824dfc6f5beb54b87dbda290a8ad54e69419
1,output_tokens_per_second,0.4591354637850633
1,request_count,1
1,timing_eligible,False
1,artifact_kind,analysis-smoke
2,record_index,2
2,capture_status,complete
2,contract.batch_size,32
2,contract.commit,2161d80517315fe9835ee3cf32c98f8e6b0343a7
2,contract.context_length,4096
2,contract.dataset_manifest_sha256,d1fa27a78c422ed77b6e44e7c1b642c8cdf3d1a5b1068d7ee0c4996079f8a75b
2,contract.dataset_sha256,ae5e2428733c21f39efdd1c6ba45d9dac78e4f00d43a0a930151034eda178445
2,contract.dtype,bfloat16
2,contract.engine_policy_sha256,9adf912ae3234934ffd938298bf9df065f55321b13e3a4f2bdd9b1679fe9639d
2,contract.evaluation_pool_count,256
2,contract.gpu_memory_utilization,0.9
2,contract.hardware_sha256,9791dbc6d311596ecffb3eb44b417020cb7e142e79a148bc73feb7a0573b4bd1
2,contract.input_sha256,c3219fdfd46165a5795d524715caae80a40a972432f692ed9012faa9f475d12f
2,contract.max_num_batched_tokens,4096
2,contract.max_num_seqs,32
2,contract.model_config_sha256,2d483c7cabad7c8704478ed4038fa7e7b2eff840bc00a118eccbe38e2b488303
2,contract.model_identity_sha256,f197bd16d71c7da5e1472aacaeb3bd213c41d7688695ac857cf30665fe951a59
2,contract.output_length,512
2,contract.repeated_request_count,0
2,contract.seed,20260908
2,contract.source_request_count,256
2,contract.synthetic,False
2,contract.tensor_parallel_size,4
2,contract.unique_selected_request_count,32
2,contract.versions.cuda,12.8
2,contract.versions.python,3.12.11
2,contract.versions.torch,2.8.0+cu128
2,contract.versions.vllm,0.10.2
2,contract.versions.vllm_commit,01efc7ef781391e744ed08c3292817a773d654e6
2,engine_mode,trace
2,final_memory[0].free_gpu_bytes,4378918912
2,final_memory[0].kv_cache_accounting_consistent,True
2,final_memory[0].kv_cache_allocated_bytes,34770321408
2,final_memory[0].kv_cache_declared_bytes,34770321408
2,final_memory[0].num_gpu_blocks,10403
2,final_memory[0].rank,0
2,final_memory[0].torch_allocated_bytes,74789082112
2,final_memory[0].torch_peak_allocated_bytes,75098127872
2,final_memory[0].torch_peak_reserved_bytes,75581358080
2,final_memory[0].torch_reserved_bytes,75581358080
2,final_memory[0].total_gpu_bytes,85017493504
2,final_memory[1].free_gpu_bytes,4378918912
2,final_memory[1].kv_cache_accounting_consistent,True
2,final_memory[1].kv_cache_allocated_bytes,34770321408
2,final_memory[1].kv_cache_declared_bytes,34770321408
2,final_memory[1].num_gpu_blocks,10403
2,final_memory[1].rank,1
2,final_memory[1].torch_allocated_bytes,74789082112
2,final_memory[1].torch_peak_allocated_bytes,75098127872
2,final_memory[1].torch_peak_reserved_bytes,75581358080
2,final_memory[1].torch_reserved_bytes,75581358080
2,final_memory[1].total_gpu_bytes,85017493504
2,final_memory[2].free_gpu_bytes,4378918912
2,final_memory[2].kv_cache_accounting_consistent,True
2,final_memory[2].kv_cache_allocated_bytes,34770321408
2,final_memory[2].kv_cache_declared_bytes,34770321408
2,final_memory[2].num_gpu_blocks,10403
2,final_memory[2].rank,2
2,final_memory[2].torch_allocated_bytes,74789082112
2,final_memory[2].torch_peak_allocated_bytes,75098127872
2,final_memory[2].torch_peak_reserved_bytes,75581358080
2,final_memory[2].torch_reserved_bytes,75581358080
2,final_memory[2].total_gpu_bytes,85017493504
2,final_memory[3].free_gpu_bytes,4378918912
2,final_memory[3].kv_cache_accounting_consistent,True
2,final_memory[3].kv_cache_allocated_bytes,34770321408
2,final_memory[3].kv_cache_declared_bytes,34770321408
2,final_memory[3].num_gpu_blocks,10403
2,final_memory[3].rank,3
2,final_memory[3].torch_allocated_bytes,74789082112
2,final_memory[3].torch_peak_allocated_bytes,75098127872
2,final_memory[3].torch_peak_reserved_bytes,75581358080
2,final_memory[3].torch_reserved_bytes,75581358080
2,final_memory[3].total_gpu_bytes,85017493504
2,geometry.expert_bytes,1572864
2,geometry.num_experts,512
2,geometry.top_k,10
2,geometry.total_layers,48
2,measurement_evidence,instrumented-not-throughput
2,memory[0].free_gpu_bytes,7598047232
2,memory[0].kv_cache_accounting_consistent,True
2,memory[0].kv_cache_allocated_bytes,34770321408
2,memory[0].kv_cache_declared_bytes,34770321408
2,memory[0].num_gpu_blocks,10403
2,memory[0].rank,0
2,memory[0].torch_allocated_bytes,74789073408
2,memory[0].torch_peak_allocated_bytes,75072947200
2,memory[0].torch_peak_reserved_bytes,75302436864
2,memory[0].torch_reserved_bytes,75302436864
2,memory[0].total_gpu_bytes,85017493504
2,memory[1].free_gpu_bytes,7598047232
2,memory[1].kv_cache_accounting_consistent,True
2,memory[1].kv_cache_allocated_bytes,34770321408
2,memory[1].kv_cache_declared_bytes,34770321408
2,memory[1].num_gpu_blocks,10403
2,memory[1].rank,1
2,memory[1].torch_allocated_bytes,74789073408
2,memory[1].torch_peak_allocated_bytes,75072947200
2,memory[1].torch_peak_reserved_bytes,75302436864
2,memory[1].torch_reserved_bytes,75302436864
2,memory[1].total_gpu_bytes,85017493504
2,memory[2].free_gpu_bytes,7598047232
2,memory[2].kv_cache_accounting_consistent,True
2,memory[2].kv_cache_allocated_bytes,34770321408
2,memory[2].kv_cache_declared_bytes,34770321408
2,memory[2].num_gpu_blocks,10403
2,memory[2].rank,2
2,memory[2].torch_allocated_bytes,74789073408
2,memory[2].torch_peak_allocated_bytes,75072947200
2,memory[2].torch_peak_reserved_bytes,75302436864
2,memory[2].torch_reserved_bytes,75302436864
2,memory[2].total_gpu_bytes,85017493504
2,memory[3].free_gpu_bytes,7598047232
2,memory[3].kv_cache_accounting_consistent,True
2,memory[3].kv_cache_allocated_bytes,34770321408
2,memory[3].kv_cache_declared_bytes,34770321408
2,memory[3].num_gpu_blocks,10403
2,memory[3].rank,3
2,memory[3].torch_allocated_bytes,74789073408
2,memory[3].torch_peak_allocated_bytes,75072947200
2,memory[3].torch_peak_reserved_bytes,75302436864
2,memory[3].torch_reserved_bytes,75302436864
2,memory[3].total_gpu_bytes,85017493504
2,physical_safety_reserve_bytes,2000000000
2,repetitions[0].artifact_kind,analysis-repetition
2,repetitions[0].capture[0].buffer_bytes,25165824
2,repetitions[0].capture[0].captured_steps,544
2,repetitions[0].capture[0].discarded_present_events,0
2,repetitions[0].capture[0].full_workload,True
2,repetitions[0].capture[0].max_trace_steps,1024
2,repetitions[0].capture[0].missing_layer_events,0
2,repetitions[0].capture[0].observed_steps,544
2,repetitions[0].capture[0].rank,0
2,repetitions[0].capture[0].status,complete
2,repetitions[0].capture[0].trace_budget_bytes,134217728
2,repetitions[0].capture[0].truncated,False
2,repetitions[0].capture[1].buffer_bytes,25165824
2,repetitions[0].capture[1].captured_steps,544
2,repetitions[0].capture[1].discarded_present_events,0
2,repetitions[0].capture[1].full_workload,True
2,repetitions[0].capture[1].max_trace_steps,1024
2,repetitions[0].capture[1].missing_layer_events,0
2,repetitions[0].capture[1].observed_steps,544
2,repetitions[0].capture[1].rank,1
2,repetitions[0].capture[1].status,complete
2,repetitions[0].capture[1].trace_budget_bytes,134217728
2,repetitions[0].capture[1].truncated,False
2,repetitions[0].capture[2].buffer_bytes,25165824
2,repetitions[0].capture[2].captured_steps,544
2,repetitions[0].capture[2].discarded_present_events,0
2,repetitions[0].capture[2].full_workload,True
2,repetitions[0].capture[2].max_trace_steps,1024
2,repetitions[0].capture[2].missing_layer_events,0
2,repetitions[0].capture[2].observed_steps,544
2,repetitions[0].capture[2].rank,2
2,repetitions[0].capture[2].status,complete
2,repetitions[0].capture[2].trace_budget_bytes,134217728
2,repetitions[0].capture[2].truncated,False
2,repetitions[0].capture[3].buffer_bytes,25165824
2,repetitions[0].capture[3].captured_steps,544
2,repetitions[0].capture[3].discarded_present_events,0
2,repetitions[0].capture[3].full_workload,True
2,repetitions[0].capture[3].max_trace_steps,1024
2,repetitions[0].capture[3].missing_layer_events,0
2,repetitions[0].capture[3].observed_steps,544
2,repetitions[0].capture[3].rank,3
2,repetitions[0].capture[3].status,complete
2,repetitions[0].capture[3].trace_budget_bytes,134217728
2,repetitions[0].capture[3].truncated,False
2,repetitions[0].elapsed_s,47.0552126346156
2,repetitions[0].generated_tokens,16384
2,repetitions[0].memory[0].free_gpu_bytes,4378918912
2,repetitions[0].memory[0].kv_cache_accounting_consistent,True
2,repetitions[0].memory[0].kv_cache_allocated_bytes,34770321408
2,repetitions[0].memory[0].kv_cache_declared_bytes,34770321408
2,repetitions[0].memory[0].num_gpu_blocks,10403
2,repetitions[0].memory[0].rank,0
2,repetitions[0].memory[0].torch_allocated_bytes,74789082112
2,repetitions[0].memory[0].torch_peak_allocated_bytes,75098127872
2,repetitions[0].memory[0].torch_peak_reserved_bytes,75581358080
2,repetitions[0].memory[0].torch_reserved_bytes,75581358080
2,repetitions[0].memory[0].total_gpu_bytes,85017493504
2,repetitions[0].memory[1].free_gpu_bytes,4378918912
2,repetitions[0].memory[1].kv_cache_accounting_consistent,True
2,repetitions[0].memory[1].kv_cache_allocated_bytes,34770321408
2,repetitions[0].memory[1].kv_cache_declared_bytes,34770321408
2,repetitions[0].memory[1].num_gpu_blocks,10403
2,repetitions[0].memory[1].rank,1
2,repetitions[0].memory[1].torch_allocated_bytes,74789082112
2,repetitions[0].memory[1].torch_peak_allocated_bytes,75098127872
2,repetitions[0].memory[1].torch_peak_reserved_bytes,75581358080
2,repetitions[0].memory[1].torch_reserved_bytes,75581358080
2,repetitions[0].memory[1].total_gpu_bytes,85017493504
2,repetitions[0].memory[2].free_gpu_bytes,4378918912
2,repetitions[0].memory[2].kv_cache_accounting_consistent,True
2,repetitions[0].memory[2].kv_cache_allocated_bytes,34770321408
2,repetitions[0].memory[2].kv_cache_declared_bytes,34770321408
2,repetitions[0].memory[2].num_gpu_blocks,10403
2,repetitions[0].memory[2].rank,2
2,repetitions[0].memory[2].torch_allocated_bytes,74789082112
2,repetitions[0].memory[2].torch_peak_allocated_bytes,75098127872
2,repetitions[0].memory[2].torch_peak_reserved_bytes,75581358080
2,repetitions[0].memory[2].torch_reserved_bytes,75581358080
2,repetitions[0].memory[2].total_gpu_bytes,85017493504
2,repetitions[0].memory[3].free_gpu_bytes,4378918912
2,repetitions[0].memory[3].kv_cache_accounting_consistent,True
2,repetitions[0].memory[3].kv_cache_allocated_bytes,34770321408
2,repetitions[0].memory[3].kv_cache_declared_bytes,34770321408
2,repetitions[0].memory[3].num_gpu_blocks,10403
2,repetitions[0].memory[3].rank,3
2,repetitions[0].memory[3].torch_allocated_bytes,74789082112
2,repetitions[0].memory[3].torch_peak_allocated_bytes,75098127872
2,repetitions[0].memory[3].torch_peak_reserved_bytes,75581358080
2,repetitions[0].memory[3].torch_reserved_bytes,75581358080
2,repetitions[0].memory[3].total_gpu_bytes,85017493504
2,repetitions[0].output_tokens_per_second,348.1867168940877
2,repetitions[0].repetition,0
2,repetitions[0].request_count,32
2,repetitions[0].timing_eligible,False
2,repetitions_completed,1
2,selection_offset,0
2,smoke.artifact_kind,analysis-smoke
2,smoke.elapsed_s,17.424051573034376
2,smoke.generated_tokens,8
2,smoke.input_sha256,f9ef3113fd157e161e0b373cbc8d824dfc6f5beb54b87dbda290a8ad54e69419
2,smoke.output_tokens_per_second,0.4591354637850633
2,smoke.request_count,1
2,smoke.timing_eligible,False
2,source_kind,native-measured
2,status,complete
2,throughput_max,348.1867168940877
2,throughput_median,348.1867168940877
2,throughput_min,348.1867168940877
2,timing_eligible,False
2,artifact_kind,native-summary
2,generation_status,complete
2,run_identity_sha256,0a942a7c6ec61bf1fc822ff39001a5db7314db6bb63936721d358e297e4507b1
3,record_index,3
3,capture.buffer_bytes,25165824
3,capture.captured_steps,544
3,capture.discarded_present_events,0
3,capture.full_workload,True
3,capture.max_trace_steps,1024
3,capture.missing_layer_events,0
3,capture.observed_steps,544
3,capture.rank,0
3,capture.status,complete
3,capture.trace_budget_bytes,134217728
3,capture.truncated,False
3,generation_status,complete
3,unpublished_reason_count,0
3,timing_eligible,False
3,trace.captured_steps,544
3,trace.contract.batch_size,32
3,trace.contract.commit,2161d80517315fe9835ee3cf32c98f8e6b0343a7
3,trace.contract.context_length,4096
3,trace.contract.dataset_manifest_sha256,d1fa27a78c422ed77b6e44e7c1b642c8cdf3d1a5b1068d7ee0c4996079f8a75b
3,trace.contract.dataset_sha256,ae5e2428733c21f39efdd1c6ba45d9dac78e4f00d43a0a930151034eda178445
3,trace.contract.dtype,bfloat16
