record_index,metric,value
0,record_index,0
0,status,failed
0,phase,launcher
0,exit_code,1
0,artifact_kind,launcher-failure
1,record_index,1
1,contract.batch_size,256
1,contract.commit,2161d80517315fe9835ee3cf32c98f8e6b0343a7
1,contract.context_length,4096
1,contract.dataset_manifest_sha256,d1fa27a78c422ed77b6e44e7c1b642c8cdf3d1a5b1068d7ee0c4996079f8a75b
1,contract.dataset_sha256,ae5e2428733c21f39efdd1c6ba45d9dac78e4f00d43a0a930151034eda178445
1,contract.dtype,bfloat16
1,contract.engine_policy_sha256,9245a83aec78d4e8f1bb197b11f0b87758fa9c16af149c16fb600f3458870715
1,contract.evaluation_pool_count,224
1,contract.gpu_memory_utilization,0.976
1,contract.hardware_sha256,9791dbc6d311596ecffb3eb44b417020cb7e142e79a148bc73feb7a0573b4bd1
1,contract.input_sha256,efbd829639331de5e1da036e49fbb898ed7c09035d00fb1dfcb632aff3eaf4bc
1,contract.max_num_batched_tokens,4096
1,contract.max_num_seqs,256
1,contract.model_config_sha256,2d483c7cabad7c8704478ed4038fa7e7b2eff840bc00a118eccbe38e2b488303
1,contract.model_identity_sha256,f197bd16d71c7da5e1472aacaeb3bd213c41d7688695ac857cf30665fe951a59
1,contract.output_length,512
1,contract.repeated_request_count,32
1,contract.seed,20260908
1,contract.source_request_count,256
1,contract.synthetic,False
1,contract.tensor_parallel_size,4
1,contract.unique_selected_request_count,224
1,contract.versions.cuda,12.8
1,contract.versions.python,3.12.11
1,contract.versions.torch,2.8.0+cu128
1,contract.versions.vllm,0.10.2
1,contract.versions.vllm_commit,01efc7ef781391e744ed08c3292817a773d654e6
1,engine_mode,native
1,geometry.expert_bytes,1572864
1,geometry.num_experts,512
1,geometry.top_k,10
1,geometry.total_layers,48
1,measurement_evidence,measured
1,memory[0].free_gpu_bytes,268500992
1,memory[0].kv_cache_accounting_consistent,True
1,memory[0].kv_cache_allocated_bytes,40933588992
1,memory[0].kv_cache_declared_bytes,40933588992
1,memory[0].num_gpu_blocks,12247
1,memory[0].rank,0
1,memory[0].torch_allocated_bytes,81030242304
1,memory[0].torch_peak_allocated_bytes,81577936896
1,memory[0].torch_peak_reserved_bytes,81828773888
1,memory[0].torch_reserved_bytes,81828773888
1,memory[0].total_gpu_bytes,85017493504
1,memory[1].free_gpu_bytes,268500992
1,memory[1].kv_cache_accounting_consistent,True
1,memory[1].kv_cache_allocated_bytes,40933588992
1,memory[1].kv_cache_declared_bytes,40933588992
1,memory[1].num_gpu_blocks,12247
1,memory[1].rank,1
1,memory[1].torch_allocated_bytes,81030242304
1,memory[1].torch_peak_allocated_bytes,81577936896
1,memory[1].torch_peak_reserved_bytes,81828773888
1,memory[1].torch_reserved_bytes,81828773888
1,memory[1].total_gpu_bytes,85017493504
1,memory[2].free_gpu_bytes,268500992
1,memory[2].kv_cache_accounting_consistent,True
1,memory[2].kv_cache_allocated_bytes,40933588992
1,memory[2].kv_cache_declared_bytes,40933588992
1,memory[2].num_gpu_blocks,12247
1,memory[2].rank,2
1,memory[2].torch_allocated_bytes,81030242304
1,memory[2].torch_peak_allocated_bytes,81577936896
1,memory[2].torch_peak_reserved_bytes,81828773888
1,memory[2].torch_reserved_bytes,81828773888
1,memory[2].total_gpu_bytes,85017493504
1,memory[3].free_gpu_bytes,268500992
1,memory[3].kv_cache_accounting_consistent,True
1,memory[3].kv_cache_allocated_bytes,40933588992
1,memory[3].kv_cache_declared_bytes,40933588992
1,memory[3].num_gpu_blocks,12247
1,memory[3].rank,3
1,memory[3].torch_allocated_bytes,81030242304
1,memory[3].torch_peak_allocated_bytes,81577936896
1,memory[3].torch_peak_reserved_bytes,81828773888
1,memory[3].torch_reserved_bytes,81828773888
1,memory[3].total_gpu_bytes,85017493504
1,physical_safety_reserve_bytes,2000000000
1,repetitions_completed,0
1,selection_offset,0
1,source_kind,native-measured
1,status,failed
1,timing_eligible,True
1,artifact_kind,native-summary
1,run_identity_sha256,3991c2ddfe7615f349eb947e6875324e28ef627cc0ebe6de8af321968575386d
