record_index,metric,value
0,record_index,0
0,elapsed_s,46.48389980988577
0,generated_tokens,131072
0,memory[0].free_gpu_bytes,3527475200
0,memory[0].kv_cache_accounting_consistent,True
0,memory[0].kv_cache_allocated_bytes,34472853504
0,memory[0].kv_cache_declared_bytes,34472853504
0,memory[0].num_gpu_blocks,10314
0,memory[0].rank,0
0,memory[0].torch_allocated_bytes,74562651136
0,memory[0].torch_peak_allocated_bytes,75044282368
0,memory[0].torch_peak_reserved_bytes,75629592576
0,memory[0].torch_reserved_bytes,75629592576
0,memory[0].total_gpu_bytes,85017493504
0,memory[1].free_gpu_bytes,3527475200
0,memory[1].kv_cache_accounting_consistent,True
0,memory[1].kv_cache_allocated_bytes,34472853504
0,memory[1].kv_cache_declared_bytes,34472853504
0,memory[1].num_gpu_blocks,10314
0,memory[1].rank,1
0,memory[1].torch_allocated_bytes,74562651136
0,memory[1].torch_peak_allocated_bytes,75044282368
0,memory[1].torch_peak_reserved_bytes,75629592576
0,memory[1].torch_reserved_bytes,75629592576
0,memory[1].total_gpu_bytes,85017493504
0,memory[2].free_gpu_bytes,3527475200
0,memory[2].kv_cache_accounting_consistent,True
0,memory[2].kv_cache_allocated_bytes,34472853504
0,memory[2].kv_cache_declared_bytes,34472853504
0,memory[2].num_gpu_blocks,10314
0,memory[2].rank,2
0,memory[2].torch_allocated_bytes,74562651136
0,memory[2].torch_peak_allocated_bytes,75044282368
0,memory[2].torch_peak_reserved_bytes,75629592576
0,memory[2].torch_reserved_bytes,75629592576
0,memory[2].total_gpu_bytes,85017493504
0,memory[3].free_gpu_bytes,3527475200
0,memory[3].kv_cache_accounting_consistent,True
0,memory[3].kv_cache_allocated_bytes,34472853504
0,memory[3].kv_cache_declared_bytes,34472853504
0,memory[3].num_gpu_blocks,10314
0,memory[3].rank,3
0,memory[3].torch_allocated_bytes,74562651136
0,memory[3].torch_peak_allocated_bytes,75044282368
0,memory[3].torch_peak_reserved_bytes,75629592576
0,memory[3].torch_reserved_bytes,75629592576
0,memory[3].total_gpu_bytes,85017493504
0,output_tokens_per_second,2819.728992964674
0,repetition,0
0,request_count,256
0,timing_eligible,True
0,artifact_kind,analysis-repetition
1,record_index,1
