record_index,metric,value
0,record_index,0
0,analyses[0].artifact_kind,feasibility-analysis
0,analyses[0].status,model-no-headroom
0,analyses[0].candidate_class,neither-profitable
0,analyses[0].baseline.median_elapsed_s,46.814905245788395
0,analyses[0].baseline.throughput_tps,2799.792060068126
0,analyses[0].baseline.source_kind,native-measured
0,analyses[0].baseline.engine_mode,native
0,analyses[0].kv_reference.median_elapsed_s,47.22915842477232
0,analyses[0].kv_reference.throughput_tps,2775.2347145624976
0,analyses[0].kv_reference.source_kind,native-measured
0,analyses[0].kv_reference.engine_mode,native
0,analyses[0].kv_reference.gpu_memory_utilization,0.915
0,analyses[0].kv_reference.engine_policy_sha256,d3f4745a0edd6083673b5cf581859d9c1de64570238ea2f5f2a4223b3340fb10
0,analyses[0].actual_kv_increment_bytes_by_rank[0],1276772352
0,analyses[0].actual_kv_increment_bytes_by_rank[1],1276772352
0,analyses[0].actual_kv_increment_bytes_by_rank[2],1276772352
0,analyses[0].actual_kv_increment_bytes_by_rank[3],1276772352
0,analyses[0].net_freed_bytes_by_rank[0],6895435776
0,analyses[0].net_freed_bytes_by_rank[1],6895435776
0,analyses[0].net_freed_bytes_by_rank[2],6895435776
0,analyses[0].net_freed_bytes_by_rank[3],6895435776
0,analyses[0].time_headroom_s,-0.4142531789839268
0,analyses[0].required_overlap_to_match_baseline_s,107.73999322485179
0,analyses[0].transport.mode,contiguous
0,analyses[0].transport.contention,isolated
0,analyses[0].transport.coverage_complete,True
0,analyses[0].transport.per_rank[0].rank,0
0,analyses[0].transport.per_rank[0].loaded_bytes,3011197796352
0,analyses[0].transport.per_rank[0].copy_count,228022
0,analyses[0].transport.per_rank[0].total_service_s,106.87151588778943
0,analyses[0].transport.per_rank[0].effective_bandwidth_bytes_s,28175868671.25222
0,analyses[0].transport.per_rank[1].rank,1
0,analyses[0].transport.per_rank[1].loaded_bytes,3011197796352
0,analyses[0].transport.per_rank[1].copy_count,228022
0,analyses[0].transport.per_rank[1].total_service_s,101.02569413464516
0,analyses[0].transport.per_rank[1].effective_bandwidth_bytes_s,29806256934.386726
0,analyses[0].transport.per_rank[2].rank,2
0,analyses[0].transport.per_rank[2].loaded_bytes,3011197796352
0,analyses[0].transport.per_rank[2].copy_count,228022
0,analyses[0].transport.per_rank[2].total_service_s,97.45300032012165
0,analyses[0].transport.per_rank[2].effective_bandwidth_bytes_s,30898974751.52709
0,analyses[0].transport.per_rank[3].rank,3
0,analyses[0].transport.per_rank[3].loaded_bytes,3011197796352
0,analyses[0].transport.per_rank[3].copy_count,228022
0,analyses[0].transport.per_rank[3].total_service_s,105.91581306792796
0,analyses[0].transport.per_rank[3].effective_bandwidth_bytes_s,28430106035.449127
0,analyses[0].transport.bottleneck_rank,0
0,analyses[0].transport.optimistic_resource_service_s,106.87151588778943
0,analyses[0].transport.serial_layer_barrier_service_s,107.32574004586786
0,analyses[0].transport.service_metric,median-measured-wall-s-per-exact-chunk
0,analyses[0].transport.chunk_rule,largest-first-exact-decomposition-with-backtracking
0,analyses[0].bandwidth_requirements_bytes_s[0],64321347667.85406
0,analyses[0].bandwidth_requirements_bytes_s[1],64321347667.85406
0,analyses[0].bandwidth_requirements_bytes_s[2],64321347667.85406
0,analyses[0].bandwidth_requirements_bytes_s[3],64321347667.85406
0,analyses[0].predictions.serial_layer_barrier.elapsed_s,154.55489847064018
0,analyses[0].predictions.serial_layer_barrier.throughput_tps,848.0611180686642
0,analyses[0].predictions.optimistic_full_overlap.elapsed_s,106.87151588778943
0,analyses[0].predictions.optimistic_full_overlap.throughput_tps,1226.4446603117342
0,analyses[0].predictions.throughput_range_tps[0],848.0611180686642
0,analyses[0].predictions.throughput_range_tps[1],1226.4446603117342
0,analyses[0].assumptions[0],diagnostic-model-not-deployment-measurement
0,analyses[0].assumptions[1],full-overlap-is-optimistic-and-not-a-hardware-bound
0,analyses[0].assumptions[2],kv-reference-engine-policy-differs
0,analyses[0].assumptions[3],kv-reference-utilization-differs
0,analyses[0].assumptions[4],no-rank-bandwidth-aggregation
0,analyses[0].assumptions[5],serial-layer-barrier-is-a-modelling-scenario-not-a-hardware-bound
0,analyses[0].assumptions[6],trace-engine-policy-differs
0,analyses[0].unpublished_reason_count,0
0,analyses[1].artifact_kind,feasibility-analysis
0,analyses[1].status,model-no-headroom
0,analyses[1].candidate_class,neither-profitable
0,analyses[1].baseline.median_elapsed_s,46.814905245788395
