record_index,metric,value
0,record_index,0
0,aggregates[0].bottleneck_bytes_per_s,18038835118.122
0,aggregates[0].bottleneck_rank,3
0,aggregates[0].bottleneck_wall_s,8.719321340322495e-05
0,aggregates[0].contention,isolated
0,aggregates[0].experts_per_batch,1
0,aggregates[0].mode,contiguous
0,aggregates[0].per_rank_payload_bytes,1572864
0,aggregates[0].repetition,0
0,aggregates[1].bottleneck_bytes_per_s,14470977158.534575
0,aggregates[1].bottleneck_rank,0
0,aggregates[1].bottleneck_wall_s,0.00010869093239307404
0,aggregates[1].contention,isolated
0,aggregates[1].experts_per_batch,1
0,aggregates[1].mode,contiguous
0,aggregates[1].per_rank_payload_bytes,1572864
0,aggregates[1].repetition,1
0,aggregates[2].bottleneck_bytes_per_s,14208492708.04745
0,aggregates[2].bottleneck_rank,2
0,aggregates[2].bottleneck_wall_s,0.00011069886386394501
0,aggregates[2].contention,isolated
0,aggregates[2].experts_per_batch,1
0,aggregates[2].mode,contiguous
0,aggregates[2].per_rank_payload_bytes,1572864
0,aggregates[2].repetition,2
0,aggregates[3].bottleneck_bytes_per_s,2968109512.176106
0,aggregates[3].bottleneck_rank,0
0,aggregates[3].bottleneck_wall_s,0.0005299211479723454
0,aggregates[3].contention,isolated
0,aggregates[3].experts_per_batch,1
0,aggregates[3].mode,fragmented
0,aggregates[3].per_rank_payload_bytes,1572864
0,aggregates[3].repetition,0
0,aggregates[4].bottleneck_bytes_per_s,5051249346.521195
0,aggregates[4].bottleneck_rank,2
0,aggregates[4].bottleneck_wall_s,0.00031138118356466293
0,aggregates[4].contention,isolated
0,aggregates[4].experts_per_batch,1
0,aggregates[4].mode,fragmented
0,aggregates[4].per_rank_payload_bytes,1572864
0,aggregates[4].repetition,1
0,aggregates[5].bottleneck_bytes_per_s,5621685391.5189085
0,aggregates[5].bottleneck_rank,2
0,aggregates[5].bottleneck_wall_s,0.0002797851338982582
0,aggregates[5].contention,isolated
0,aggregates[5].experts_per_batch,1
0,aggregates[5].mode,fragmented
0,aggregates[5].per_rank_payload_bytes,1572864
0,aggregates[5].repetition,2
0,aggregates[6].bottleneck_bytes_per_s,73893121.23891479
0,aggregates[6].bottleneck_rank,0
0,aggregates[6].bottleneck_wall_s,0.021285661961883307
0,aggregates[6].contention,isolated
0,aggregates[6].experts_per_batch,1
0,aggregates[6].mode,gather
0,aggregates[6].per_rank_payload_bytes,1572864
0,aggregates[6].repetition,0
0,aggregates[7].bottleneck_bytes_per_s,80278295.27379702
0,aggregates[7].bottleneck_rank,2
0,aggregates[7].bottleneck_wall_s,0.01959264324977994
0,aggregates[7].contention,isolated
0,aggregates[7].experts_per_batch,1
0,aggregates[7].mode,gather
0,aggregates[7].per_rank_payload_bytes,1572864
0,aggregates[7].repetition,1
0,aggregates[8].bottleneck_bytes_per_s,72609417.86872567
0,aggregates[8].bottleneck_rank,1
0,aggregates[8].bottleneck_wall_s,0.021661983337253332
0,aggregates[8].contention,isolated
0,aggregates[8].experts_per_batch,1
0,aggregates[8].mode,gather
0,aggregates[8].per_rank_payload_bytes,1572864
0,aggregates[8].repetition,2
0,aggregates[9].bottleneck_bytes_per_s,28896272327.758644
0,aggregates[9].bottleneck_rank,2
0,aggregates[9].bottleneck_wall_s,0.00043545104563236237
0,aggregates[9].contention,isolated
0,aggregates[9].experts_per_batch,8
0,aggregates[9].mode,contiguous
0,aggregates[9].per_rank_payload_bytes,12582912
0,aggregates[9].repetition,0
0,aggregates[10].bottleneck_bytes_per_s,24954653706.98114
0,aggregates[10].bottleneck_rank,1
0,aggregates[10].bottleneck_wall_s,0.0005042310804128647
0,aggregates[10].contention,isolated
0,aggregates[10].experts_per_batch,8
0,aggregates[10].mode,contiguous
0,aggregates[10].per_rank_payload_bytes,12582912
0,aggregates[10].repetition,1
0,aggregates[11].bottleneck_bytes_per_s,24381320216.64254
0,aggregates[11].bottleneck_rank,1
0,aggregates[11].bottleneck_wall_s,0.0005160882137715816
0,aggregates[11].contention,isolated
0,aggregates[11].experts_per_batch,8
0,aggregates[11].mode,contiguous
0,aggregates[11].per_rank_payload_bytes,12582912
0,aggregates[11].repetition,2
0,aggregates[12].bottleneck_bytes_per_s,30732448753.911533
0,aggregates[12].bottleneck_rank,0
0,aggregates[12].bottleneck_wall_s,0.00040943408384919167
0,aggregates[12].contention,isolated
0,aggregates[12].experts_per_batch,8
0,aggregates[12].mode,fragmented
0,aggregates[12].per_rank_payload_bytes,12582912
0,aggregates[12].repetition,0
0,aggregates[13].bottleneck_bytes_per_s,25882682103.617496
0,aggregates[13].bottleneck_rank,2
0,aggregates[13].bottleneck_wall_s,0.0004861517809331417
0,aggregates[13].contention,isolated
0,aggregates[13].experts_per_batch,8
0,aggregates[13].mode,fragmented
0,aggregates[13].per_rank_payload_bytes,12582912
0,aggregates[13].repetition,1
0,aggregates[14].bottleneck_bytes_per_s,27001427697.73277
0,aggregates[14].bottleneck_rank,3
0,aggregates[14].bottleneck_wall_s,0.00046600913628935814
0,aggregates[14].contention,isolated
0,aggregates[14].experts_per_batch,8
0,aggregates[14].mode,fragmented
0,aggregates[14].per_rank_payload_bytes,12582912
0,aggregates[14].repetition,2
0,aggregates[15].bottleneck_bytes_per_s,71327001.26444836
0,aggregates[15].bottleneck_rank,2
0,aggregates[15].bottleneck_wall_s,0.1764116222038865
0,aggregates[15].contention,isolated
0,aggregates[15].experts_per_batch,8
0,aggregates[15].mode,gather
0,aggregates[15].per_rank_payload_bytes,12582912
0,aggregates[15].repetition,0
0,aggregates[16].bottleneck_bytes_per_s,74488049.91978543
0,aggregates[16].bottleneck_rank,2
0,aggregates[16].bottleneck_wall_s,0.1689252438955009
0,aggregates[16].contention,isolated
0,aggregates[16].experts_per_batch,8
0,aggregates[16].mode,gather
0,aggregates[16].per_rank_payload_bytes,12582912
0,aggregates[16].repetition,1
0,aggregates[17].bottleneck_bytes_per_s,76425494.90026869
0,aggregates[17].bottleneck_rank,3
0,aggregates[17].bottleneck_wall_s,0.16464285925030708
0,aggregates[17].contention,isolated
0,aggregates[17].experts_per_batch,8
0,aggregates[17].mode,gather
0,aggregates[17].per_rank_payload_bytes,12582912
0,aggregates[17].repetition,2
0,aggregates[18].bottleneck_bytes_per_s,33627690260.522003
0,aggregates[18].bottleneck_rank,3
0,aggregates[18].bottleneck_wall_s,0.001496732234954834
0,aggregates[18].contention,isolated
0,aggregates[18].experts_per_batch,32
0,aggregates[18].mode,contiguous
0,aggregates[18].per_rank_payload_bytes,50331648
0,aggregates[18].repetition,0
0,aggregates[19].bottleneck_bytes_per_s,31159106453.281662
0,aggregates[19].bottleneck_rank,3
0,aggregates[19].bottleneck_wall_s,0.0016153110191226006
0,aggregates[19].contention,isolated
0,aggregates[19].experts_per_batch,32
0,aggregates[19].mode,contiguous
0,aggregates[19].per_rank_payload_bytes,50331648
0,aggregates[19].repetition,1
0,aggregates[20].bottleneck_bytes_per_s,30691416468.484352
0,aggregates[20].bottleneck_rank,0
0,aggregates[20].bottleneck_wall_s,0.0016399258747696877
0,aggregates[20].contention,isolated
0,aggregates[20].experts_per_batch,32
0,aggregates[20].mode,contiguous
0,aggregates[20].per_rank_payload_bytes,50331648
0,aggregates[20].repetition,2
0,aggregates[21].bottleneck_bytes_per_s,34626637502.16385
0,aggregates[21].bottleneck_rank,0
0,aggregates[21].bottleneck_wall_s,0.0014535528607666492
0,aggregates[21].contention,isolated
0,aggregates[21].experts_per_batch,32
0,aggregates[21].mode,fragmented
0,aggregates[21].per_rank_payload_bytes,50331648
0,aggregates[21].repetition,0
0,aggregates[22].bottleneck_bytes_per_s,33185914584.141922
0,aggregates[22].bottleneck_rank,0
0,aggregates[22].bottleneck_wall_s,0.0015166569501161575
0,aggregates[22].contention,isolated
0,aggregates[22].experts_per_batch,32
0,aggregates[22].mode,fragmented
0,aggregates[22].per_rank_payload_bytes,50331648
0,aggregates[22].repetition,1
0,aggregates[23].bottleneck_bytes_per_s,33181452350.804928
0,aggregates[23].bottleneck_rank,3
0,aggregates[23].bottleneck_wall_s,0.0015168609097599983
0,aggregates[23].contention,isolated
0,aggregates[23].experts_per_batch,32
0,aggregates[23].mode,fragmented
0,aggregates[23].per_rank_payload_bytes,50331648
0,aggregates[23].repetition,2
0,aggregates[24].bottleneck_bytes_per_s,69915596.02836885
0,aggregates[24].bottleneck_rank,1
0,aggregates[24].bottleneck_wall_s,0.7198915672488511
0,aggregates[24].contention,isolated
0,aggregates[24].experts_per_batch,32
0,aggregates[24].mode,gather
0,aggregates[24].per_rank_payload_bytes,50331648
0,aggregates[24].repetition,0
0,aggregates[25].bottleneck_bytes_per_s,72576509.50058694
0,aggregates[25].bottleneck_rank,3
0,aggregates[25].bottleneck_wall_s,0.6934977769851685
0,aggregates[25].contention,isolated
0,aggregates[25].experts_per_batch,32
0,aggregates[25].mode,gather
0,aggregates[25].per_rank_payload_bytes,50331648
0,aggregates[25].repetition,1
0,aggregates[26].bottleneck_bytes_per_s,78322384.80186825
0,aggregates[26].bottleneck_rank,1
0,aggregates[26].bottleneck_wall_s,0.6426214948296547
0,aggregates[26].contention,isolated
0,aggregates[26].experts_per_batch,32
0,aggregates[26].mode,gather
0,aggregates[26].per_rank_payload_bytes,50331648
0,aggregates[26].repetition,2
0,aggregates[27].bottleneck_bytes_per_s,25200405415.50335
0,aggregates[27].bottleneck_rank,0
0,aggregates[27].bottleneck_wall_s,0.007989021949470043
0,aggregates[27].contention,isolated
0,aggregates[27].experts_per_batch,128
0,aggregates[27].mode,contiguous
0,aggregates[27].per_rank_payload_bytes,201326592
0,aggregates[27].repetition,0
0,aggregates[28].bottleneck_bytes_per_s,24018602885.037827
0,aggregates[28].bottleneck_rank,2
0,aggregates[28].bottleneck_wall_s,0.008382110856473446
0,aggregates[28].contention,isolated
0,aggregates[28].experts_per_batch,128
0,aggregates[28].mode,contiguous
0,aggregates[28].per_rank_payload_bytes,201326592
0,aggregates[28].repetition,1
0,aggregates[29].bottleneck_bytes_per_s,23529069200.80277
0,aggregates[29].bottleneck_rank,3
0,aggregates[29].bottleneck_wall_s,0.008556504733860493
0,aggregates[29].contention,isolated
0,aggregates[29].experts_per_batch,128
0,aggregates[29].mode,contiguous
0,aggregates[29].per_rank_payload_bytes,201326592
0,aggregates[29].repetition,2
0,aggregates[30].bottleneck_bytes_per_s,33242384350.151245
0,aggregates[30].bottleneck_rank,0
0,aggregates[30].bottleneck_wall_s,0.0060563222505152225
0,aggregates[30].contention,isolated
0,aggregates[30].experts_per_batch,128
0,aggregates[30].mode,fragmented
0,aggregates[30].per_rank_payload_bytes,201326592
0,aggregates[30].repetition,0
0,aggregates[31].bottleneck_bytes_per_s,32591656482.569794
0,aggregates[31].bottleneck_rank,0
0,aggregates[31].bottleneck_wall_s,0.006177243310958147
0,aggregates[31].contention,isolated
0,aggregates[31].experts_per_batch,128
0,aggregates[31].mode,fragmented
0,aggregates[31].per_rank_payload_bytes,201326592
0,aggregates[31].repetition,1
0,aggregates[32].bottleneck_bytes_per_s,32216461989.443207
0,aggregates[32].bottleneck_rank,0
0,aggregates[32].bottleneck_wall_s,0.006249183788895607
0,aggregates[32].contention,isolated
0,aggregates[32].experts_per_batch,128
0,aggregates[32].mode,fragmented
0,aggregates[32].per_rank_payload_bytes,201326592
0,aggregates[32].repetition,2
0,aggregates[33].bottleneck_bytes_per_s,83309146.77297023
0,aggregates[33].bottleneck_rank,3
0,aggregates[33].bottleneck_wall_s,2.4166205008514225
0,aggregates[33].contention,isolated
0,aggregates[33].experts_per_batch,128
0,aggregates[33].mode,gather
0,aggregates[33].per_rank_payload_bytes,201326592
0,aggregates[33].repetition,0
0,aggregates[34].bottleneck_bytes_per_s,84929985.77364978
0,aggregates[34].bottleneck_rank,3
0,aggregates[34].bottleneck_wall_s,2.370500714983791
0,aggregates[34].contention,isolated
