run_id,field,value
01-resident,schema_version,1
01-resident,run_id,01-resident
01-resident,arm,resident
01-resident,status,complete
01-resident,offload_count,0
01-resident,staging_slots,1
01-resident,repetitions_completed,1
01-resident,requested_kv_cache_bytes,
01-resident,exit_code,0
01-resident,launcher_elapsed_s,132.83125479286537
01-resident,smoke_matches_resident,
01-resident,performance_outputs_stable,True
01-resident,contract.batch_size,32
01-resident,contract.context_length,4096
01-resident,contract.output_length,64
01-resident,contract.tensor_parallel_size,4
01-resident,contract.gpu_memory_utilization,0.6
01-resident,contract.seed,20260905
01-resident,contract.warmups,0
01-resident,contract.timing_samples,128
01-resident,contract.max_num_seqs,32
01-resident,contract.max_num_batched_tokens,8192
01-resident,contract.repetitions_requested,1
01-resident,contract.smoke_output_length,8
01-resident,contract.source_request_count,512
01-resident,contract.unique_selected_request_count,32
01-resident,contract.repeated_request_count,0
01-resident,contract.commit,4e62dcc0a2ce74dadc56f32f2e0efb820ce7048d
01-resident,contract.model_identity_sha256,f197bd16d71c7da5e1472aacaeb3bd213c41d7688695ac857cf30665fe951a59
01-resident,contract.model_config_sha256,2d483c7cabad7c8704478ed4038fa7e7b2eff840bc00a118eccbe38e2b488303
01-resident,contract.dataset_sha256,e2c49470808ee926dbc90538fde50bcd15852d1be946cd521e6a257a4e2788c0
01-resident,contract.dataset_manifest_sha256,c5b24da6ce5d77cbe6734dc5bd5e7458d1a0a28bb1797bdae282843b35df93e6
01-resident,contract.input_sha256,24f7a1479959083d6064ec0a689eaf047cee4f6a272761d123f2880fe5406bb9
01-resident,contract.engine_policy_sha256,453c3f01dab00f2691d5cf44920bef90559949bac7ef297c0848d986c64de95e
01-resident,contract.dtype,bfloat16
01-resident,contract.versions.torch,2.8.0+cu128
01-resident,contract.versions.vllm,0.10.2
01-resident,contract.versions.cuda,12.8
01-resident,contract.versions.vllm_commit,01efc7ef781391e744ed08c3292817a773d654e6
01-resident,contract.comparison_backend,expert-cache
01-resident,contract.expert_cache.resident_ratio,0.5
01-resident,contract.expert_cache.cache_policy,decayed-lfu
01-resident,contract.expert_cache.cache_slots,256
01-resident,contract.expert_cache.calibration_count,32
01-resident,contract.expert_cache.timing_samples,128
01-resident,contract.expert_cache.profile_sha256,e102f6959c1e9a64d67294b1800b9f093fb41907a0ca4aa42aa030b7c2dad3fb
01-resident,contract.expert_cache.identity.geometry.total_layers,48
01-resident,contract.expert_cache.identity.geometry.num_experts,512
01-resident,contract.expert_cache.identity.geometry.hidden_size,2048
01-resident,contract.expert_cache.identity.geometry.intermediate_size,128
01-resident,contract.expert_cache.identity.tensor_parallel_size,4
01-resident,contract.expert_cache.identity.model_config_sha256,2d483c7cabad7c8704478ed4038fa7e7b2eff840bc00a118eccbe38e2b488303
01-resident,contract.expert_cache.identity.model_identity_sha256,24f6a89ba0e0435caffbb3d056425fb1fe980fca09d5a8749dfb231bd24880d8
01-resident,contract.calibration_count,32
01-resident,contract.evaluation_pool_count,45
01-resident,contract.calibration_input_hashes_sha256,e750c8cc9181b644e745c419ca77123f9edd3e336658d6399e0ba5e721adb07a
01-resident,contract.sampling_policy,heldout-token-hash-first-unique
01-resident,contract.split_scope,full-prompt-token-hashes; source-conversation-disjointness-not-claimed
01-resident,memory[0].rank,0
01-resident,memory[0].total_gpu_bytes,85017493504
01-resident,memory[0].free_gpu_bytes,32923254784
01-resident,memory[0].torch_allocated_bytes,49011060736
01-resident,memory[0].torch_reserved_bytes,49977229312
01-resident,memory[0].torch_peak_allocated_bytes,49578542592
01-resident,memory[0].torch_peak_reserved_bytes,49977229312
01-resident,memory[0].available_kv_cache_bytes,
01-resident,memory[0].model_memory_bytes,39959379968
01-resident,memory[0].kv_cache_allocated_bytes,8980856832
01-resident,memory[0].kv_cache_declared_bytes,8980856832
01-resident,memory[0].num_gpu_blocks,2687
01-resident,memory[0].kv_cache_accounting_consistent,True
01-resident,memory[1].rank,1
01-resident,memory[1].total_gpu_bytes,85017493504
01-resident,memory[1].free_gpu_bytes,32923254784
01-resident,memory[1].torch_allocated_bytes,49011060736
01-resident,memory[1].torch_reserved_bytes,49977229312
01-resident,memory[1].torch_peak_allocated_bytes,49578542592
01-resident,memory[1].torch_peak_reserved_bytes,49977229312
01-resident,memory[1].available_kv_cache_bytes,
01-resident,memory[1].model_memory_bytes,39959379968
01-resident,memory[1].kv_cache_allocated_bytes,8980856832
01-resident,memory[1].kv_cache_declared_bytes,8980856832
01-resident,memory[1].num_gpu_blocks,2687
01-resident,memory[1].kv_cache_accounting_consistent,True
01-resident,memory[2].rank,2
01-resident,memory[2].total_gpu_bytes,85017493504
01-resident,memory[2].free_gpu_bytes,32923254784
01-resident,memory[2].torch_allocated_bytes,49011060736
01-resident,memory[2].torch_reserved_bytes,49977229312
01-resident,memory[2].torch_peak_allocated_bytes,49578542592
01-resident,memory[2].torch_peak_reserved_bytes,49977229312
01-resident,memory[2].available_kv_cache_bytes,
01-resident,memory[2].model_memory_bytes,39959379968
01-resident,memory[2].kv_cache_allocated_bytes,8980856832
01-resident,memory[2].kv_cache_declared_bytes,8980856832
01-resident,memory[2].num_gpu_blocks,2687
01-resident,memory[2].kv_cache_accounting_consistent,True
01-resident,memory[3].rank,3
01-resident,memory[3].total_gpu_bytes,85017493504
01-resident,memory[3].free_gpu_bytes,32923254784
01-resident,memory[3].torch_allocated_bytes,49011060736
01-resident,memory[3].torch_reserved_bytes,49977229312
01-resident,memory[3].torch_peak_allocated_bytes,49578542592
01-resident,memory[3].torch_peak_reserved_bytes,49977229312
01-resident,memory[3].available_kv_cache_bytes,
01-resident,memory[3].model_memory_bytes,39959379968
01-resident,memory[3].kv_cache_allocated_bytes,8980856832
01-resident,memory[3].kv_cache_declared_bytes,8980856832
01-resident,memory[3].num_gpu_blocks,2687
01-resident,memory[3].kv_cache_accounting_consistent,True
01-resident,final_memory[0].rank,0
01-resident,final_memory[0].total_gpu_bytes,85017493504
01-resident,final_memory[0].free_gpu_bytes,29983047680
01-resident,final_memory[0].torch_allocated_bytes,49011074560
01-resident,final_memory[0].torch_reserved_bytes,49977229312
01-resident,final_memory[0].torch_peak_allocated_bytes,49578562560
01-resident,final_memory[0].torch_peak_reserved_bytes,49977229312
01-resident,final_memory[0].available_kv_cache_bytes,
01-resident,final_memory[0].model_memory_bytes,39959379968
01-resident,final_memory[0].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[0].kv_cache_declared_bytes,8980856832
01-resident,final_memory[0].num_gpu_blocks,2687
01-resident,final_memory[0].kv_cache_accounting_consistent,True
01-resident,final_memory[1].rank,1
01-resident,final_memory[1].total_gpu_bytes,85017493504
01-resident,final_memory[1].free_gpu_bytes,29983047680
01-resident,final_memory[1].torch_allocated_bytes,49011074560
01-resident,final_memory[1].torch_reserved_bytes,49977229312
01-resident,final_memory[1].torch_peak_allocated_bytes,49578562560
01-resident,final_memory[1].torch_peak_reserved_bytes,49977229312
01-resident,final_memory[1].available_kv_cache_bytes,
01-resident,final_memory[1].model_memory_bytes,39959379968
01-resident,final_memory[1].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[1].kv_cache_declared_bytes,8980856832
01-resident,final_memory[1].num_gpu_blocks,2687
01-resident,final_memory[1].kv_cache_accounting_consistent,True
01-resident,final_memory[2].rank,2
01-resident,final_memory[2].total_gpu_bytes,85017493504
01-resident,final_memory[2].free_gpu_bytes,29983047680
01-resident,final_memory[2].torch_allocated_bytes,49011074560
01-resident,final_memory[2].torch_reserved_bytes,49977229312
01-resident,final_memory[2].torch_peak_allocated_bytes,49578562560
01-resident,final_memory[2].torch_peak_reserved_bytes,49977229312
01-resident,final_memory[2].available_kv_cache_bytes,
01-resident,final_memory[2].model_memory_bytes,39959379968
01-resident,final_memory[2].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[2].kv_cache_declared_bytes,8980856832
01-resident,final_memory[2].num_gpu_blocks,2687
01-resident,final_memory[2].kv_cache_accounting_consistent,True
01-resident,final_memory[3].rank,3
01-resident,final_memory[3].total_gpu_bytes,85017493504
01-resident,final_memory[3].free_gpu_bytes,29983047680
01-resident,final_memory[3].torch_allocated_bytes,49011074560
01-resident,final_memory[3].torch_reserved_bytes,49977229312
01-resident,final_memory[3].torch_peak_allocated_bytes,49578562560
01-resident,final_memory[3].torch_peak_reserved_bytes,49977229312
01-resident,final_memory[3].available_kv_cache_bytes,
01-resident,final_memory[3].model_memory_bytes,39959379968
01-resident,final_memory[3].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[3].kv_cache_declared_bytes,8980856832
01-resident,final_memory[3].num_gpu_blocks,2687
01-resident,final_memory[3].kv_cache_accounting_consistent,True
01-resident,hardware_budget.total_gpu_bytes_by_rank[0],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[1],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[2],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[3],85017493504
01-resident,hardware_budget.requested_gpu_bytes_by_rank[0],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[1],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[2],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[3],51010496102
01-resident,smoke.elapsed_s,14.649624284822494
01-resident,smoke.generated_tokens,8
01-resident,smoke.request_count,1
01-resident,smoke.output_tokens_per_second,0.5460890903726637
01-resident,smoke.latency_available_requests,0
01-resident,smoke.ttft_available_requests,0
01-resident,smoke.ttft_median_s,
01-resident,smoke.request_latency_median_s,
01-resident,smoke.input_sha256,8f63bdbc6e4ba404b90c7517bb32e8ab02871aca0ff010fdcf90ce8de5a5a7be
01-resident,smoke.output_sha256,aca6a96d6190b30731841211aa6dc44913c8f1995ea7500945641e467c508c32
01-resident,repetitions[0].repetition,0
01-resident,repetitions[0].elapsed_s,8.006163274869323
01-resident,repetitions[0].generated_tokens,2048
01-resident,repetitions[0].request_count,32
01-resident,repetitions[0].output_tokens_per_second,255.8029270310413
01-resident,repetitions[0].latency_available_requests,0
01-resident,repetitions[0].ttft_available_requests,0
01-resident,repetitions[0].ttft_median_s,
01-resident,repetitions[0].request_latency_median_s,
01-resident,repetitions[0].output_sha256,cca875f9ecf0705a41d2979b11c58941660aa500c2c73e40f26e51aec6a503db
01-resident,repetitions[0].timing_available,False
01-resident,repetitions[0].diagnostics.h2d_bytes,0
01-resident,repetitions[0].diagnostics.copy_launches,0
01-resident,repetitions[0].diagnostics.startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.unique_demands,0
01-resident,repetitions[0].diagnostics.resident_hits,0
01-resident,repetitions[0].diagnostics.timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.policy.observations,0
01-resident,repetitions[0].diagnostics.policy.unique_demands,0
01-resident,repetitions[0].diagnostics.policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.policy.decay_events,0
01-resident,repetitions[0].diagnostics.policy.cache_hits,0
01-resident,repetitions[0].diagnostics.policy.cache_misses,0
01-resident,repetitions[0].diagnostics.policy.admissions,0
01-resident,repetitions[0].diagnostics.policy.evictions,0
01-resident,repetitions[0].diagnostics.policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[0].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[0].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].promotion_d2d_bytes,0
